# Tile  Number RA            Dec           petro_radius kron_radius rSDSS_auto gSDSS_auto iSDSS_auto zSDSS_auto uJAVA_auto J0378_auto J0395_auto J0410_auto J0430_auto J0515_auto J0660_auto J0861_auto rSDSS_PETRO gSDSS_PETRO iSDSS_PETRO zSDSS_PETRO uJAVA_PETRO J0378_PETRO J0395_PETRO J0410_PETRO J0430_PETRO J0515_PETRO J0660_PETRO J0861_PETRO rSDSS_MAG_APER_6_0 gSDSS_MAG_APER_6_0 iSDSS_MAG_APER_6_0 zSDSS_MAG_APER_6_0 uJAVA_MAG_APER_6_0 J0378_MAG_APER_6_0 J0395_MAG_APER_6_0 J0410_MAG_APER_6_0 J0430_MAG_APER_6_0 J0515_MAG_APER_6_0 J0660_MAG_APER_6_0 J0861_MAG_APER_6_0 rSDSS_auto_err gSDSS_auto_err iSDSS_auto_err zSDSS_auto_err uJAVA_auto_err J0378_auto_err J0395_auto_err J0410_auto_err J0430_auto_err J0515_auto_err J0660_auto_err J0861_auto_err rSDSS_PETRO_err gSDSS_PETRO_err iSDSS_PETRO_err zSDSS_PETRO_err uJAVA_PETRO_err J0378_PETRO_err J0395_PETRO_err J0410_PETRO_err J0430_PETRO_err J0515_PETRO_err J0660_PETRO_err J0861_PETRO_err rSDSS_MAG_APER_6_0_err gSDSS_MAG_APER_6_0_err iSDSS_MAG_APER_6_0_err zSDSS_MAG_APER_6_0_err uJAVA_MAG_APER_6_0_err J0378_MAG_APER_6_0_err J0395_MAG_APER_6_0_err J0410_MAG_APER_6_0_err J0430_MAG_APER_6_0_err J0515_MAG_APER_6_0_err J0660_MAG_APER_6_0_err J0861_MAG_APER_6_0_err rSDSS_FLAGS gSDSS_FLAGS iSDSS_FLAGS zSDSS_FLAGS uJAVA_FLAGS J0378_FLAGS J0395_FLAGS J0410_FLAGS J0430_FLAGS J0515_FLAGS J0660_FLAGS J0861_FLAGS rSDSS_MASK_FLAGS gSDSS_MASK_FLAGS iSDSS_MASK_FLAGS zSDSS_MASK_FLAGS uJAVA_MASK_FLAGS J0378_MASK_FLAGS J0395_MASK_FLAGS J0410_MASK_FLAGS J0430_MASK_FLAGS J0515_MASK_FLAGS J0660_MASK_FLAGS J0861_MASK_FLAGS col1  col2       col3      Separation           
  73268 5491   343.426680858 11.2751893939 5.27999973   3.71674752  16.711     16.509     17.163     17.042     17.533     17.033     17.03      17.376     17.24      15.321     15.048     17.166     16.629      16.47       17.045      16.8        17.406      17.067      16.989      17.185      17.232      15.289      15.024      17.035      17.258             16.88              17.862             17.777             17.971             17.591             17.411             18.008             17.712             15.607             15.39              18.033             0.018          0.016          0.037          0.063          0.079          0.05           0.049          0.056          0.05           0.01           0.008          0.09           0.023           0.02            0.048           0.073           0.099           0.072           0.067           0.066           0.07            0.012           0.01            0.115           0.012                  0.011                  0.026                  0.043                  0.047                  0.035                  0.031                  0.04                   0.033                  0.008                  0.007                  0.07                   3           3           3           3           3           3           3           3           3           3           3           3           0                0                0                0                0                0                0                0                0                0                0                0                5491  343.426681 11.275189 0.0015040521300506737
  70466 9220   184.043068903 69.5575174471 10.5600004   8.25944901  17.841     17.482     18.046     17.325     17.034     17.237     17.252     17.185     16.949     17.945     16.019     17.507     18.344      17.596      18.21       17.064      16.809      17.166      16.653      17.328      16.683      18.506      16.127      17.148      18.609             18.427             18.872             18.992             18.731             18.454             18.704             18.851             18.77              18.925             17.212             18.83              0.192          0.146          0.276          0.307          0.195          0.27           0.255          0.214          0.157          0.455          0.064          0.481          0.414           0.214           0.438           0.322           0.202           0.334           0.191           0.319           0.162           0.995           0.095           0.463           0.031                  0.031                  0.044                  0.112                  0.089                  0.072                  0.089                  0.089                  0.074                  0.1                    0.019                  0.117                  3           3           3           3           3           3           3           3           3           3           3           3           0                0                0                0                0                0                0                0                0                0                0                0                9220  184.043069 69.557517 0.001614174277067561 
  70466 18549  184.115994969 69.4120038902 6.59999943   4.47764921  18.925     18.788     19.974     19.661     19.065     18.506     18.979     19.326     19.379     20.352     16.973     20.026     19.045      19.119      20.155      19.929      18.978      18.693      19.292      19.445      19.93       20.403      16.982      19.656      18.717             18.632             19.448             19.232             18.889             18.504             18.934             19.083             19.174             19.693             16.981             19.481             0.047          0.049          0.138          0.238          0.136          0.086          0.129          0.155          0.145          0.356          0.018          0.404          0.085           0.106           0.272           0.509           0.203           0.164           0.278           0.282           0.395           0.618           0.026           0.481           0.031                  0.034                  0.067                  0.127                  0.095                  0.07                   0.101                  0.1                    0.097                  0.156                  0.015                  0.194                  3           3           3           3           3           3           3           3           3           3           3           3           0                0                0                0                0                0                0                0                0                0                0                0                18549 184.115995 69.412004 3.972232870960717E-4 
  71787 12645  27.5507216201 2.31488421196 7.25999928   5.67203665  17.173     17.448     18.17      17.48      17.441     17.627     17.454     17.292     19.062     17.303     16.414     16.947     17.183      17.341      19.616      17.142      17.21       17.963      17.27       17.36       19.508      17.411      16.393      16.948      18.868             18.877             19.344             19.319             19.177             18.828             19.025             19.075             19.198             18.361             17.645             19.386             0.072          0.086          0.294          0.314          0.187          0.217          0.189          0.131          0.677          0.132          0.062          0.231          0.096           0.101           1.487           0.304           0.198           0.381           0.207           0.181           1.329           0.19            0.079           0.305           0.043                  0.043                  0.097                  0.194                  0.116                  0.088                  0.105                  0.09                   0.099                  0.048                  0.028                  0.25                   3           3           3           3           3           3           3           3           3           3           3           3           0                0                0                0                0                0                0                0                0                0                0                0                12645 27.550722  2.314884  0.001565133243282377 
  67905 25070  284.833521439 48.4656040554 5.27999973   3.5         14.719     13.931     16.03      15.796     14.893     14.422     15.297     16.207     15.63      16.733     12.496     16.129     14.719      13.937      15.993      15.893      14.824      14.433      15.213      16.188      15.62       16.685      12.496      16.058      17.982             17.035             19.33              19.16              18.265             17.804             18.575             19.508             18.81              20.056             15.719             19.584             0.01           0.005          0.042          0.072          0.027          0.019          0.041          0.07           0.037          0.108          0.003          0.103          0.017           0.008           0.071           0.138           0.039           0.029           0.059           0.108           0.058           0.171           0.004           0.161           0.02                   0.013                  0.071                  0.133                  0.069                  0.052                  0.095                  0.155                  0.079                  0.22                   0.009                  0.227                  3           3           3           3           3           3           3           3           3           3           3           3           0                0                0                0                0                0                0                0                0                0                0                0                25070 284.833521 48.465604 0.0010667249660989723
  69221 9002   106.20610262  56.5146615822 0.0          3.5         18.212     18.323     18.835     18.681     20.441     18.297     19.19      18.471     18.83      18.443     16.719     18.881     99.0        21.791      99.0        99.0        99.0        19.589      99.0        20.403      99.0        99.0        17.373      99.0        18.642             18.644             19.192             19.053             19.498             18.46              19.264             19.101             19.191             18.533             16.893             19.353             0.038          0.044          0.082          0.173          0.667          0.099          0.227          0.094          0.129          0.089          0.02           0.253          99.0            1.26            99.0            99.0            99.0            0.364           99.0            0.633           99.0            99.0            0.043           99.0            0.03                   0.034                  0.057                  0.122                  0.15                   0.064                  0.129                  0.09                   0.096                  0.053                  0.015                  0.197                  3           3           3           3           3           3           3           3           3           3           3           3           0                0                0                0                0                0                0                0                0                0                0                0                9002  106.206103 56.514662 0.0016828298051242733
  70525 9777   124.70775403  70.7471772852 4.61999989   5.349226    17.236     17.265     17.958     18.147     17.769     17.367     18.081     17.914     17.425     17.889     15.485     17.787     17.261      17.307      17.903      18.091      17.86       17.35       17.859      17.912      17.512      17.867      15.515      17.932      17.822             17.754             18.774             18.755             18.195             17.988             18.214             18.567             18.225             18.671             15.934             18.681             0.04           0.043          0.104          0.261          0.152          0.108          0.206          0.157          0.088          0.141          0.016          0.228          0.035           0.039           0.084           0.21            0.142           0.092           0.145           0.135           0.083           0.119           0.014           0.223           0.017                  0.018                  0.052                  0.104                  0.06                   0.052                  0.063                  0.073                  0.048                  0.073                  0.008                  0.127                  2           2           2           2           2           2           2           2           2           2           2           2           0                0                0                0                0                0                0                0                0                0                0                0                9777  124.707754 70.747177 0.0010273373874521228
  64235 10908  183.758085621 35.9653876467 5.93999958   4.07408571  16.809     16.752     17.051     17.023     16.941     16.404     16.854     17.001     17.02      16.935     15.439     17.115     16.732      16.677      16.999      16.828      17.091      16.346      16.785      16.911      16.939      16.864      15.384      17.007      17.413             17.29              17.76              17.728             17.425             17.084             17.411             17.562             17.469             17.456             16.07              17.827             0.017          0.016          0.026          0.054          0.051          0.03           0.043          0.045          0.043          0.041          0.01           0.072          0.023           0.022           0.037           0.068           0.085           0.041           0.059           0.061           0.059           0.056           0.013           0.097           0.011                  0.011                  0.018                  0.036                  0.031                  0.024                  0.029                  0.029                  0.026                  0.026                  0.009                  0.048                  3           3           3           3           3           3           3           3           3           3           3           3           0                0                0                0                0                0                0                0                0                0                0                0                10908 183.758086 35.965388 0.0016843908907583948
  64235 12290  183.912708236 36.3272392141 6.59999943   3.5         9.795      10.139     9.654      9.534      10.955     10.59      10.644     10.406     10.347     10.102     9.43       9.566      9.739       10.071      9.597       9.482       10.8        10.459      10.55       10.313      10.264      10.03       9.377       9.48        15.225             15.225             15.387             15.311             15.421             15.206             15.368             15.335             15.339             15.43              14.277             15.421             0.001          0.001          0.001          0.002          0.005          0.004          0.004          0.003          0.003          0.002          0.001          0.003          0.003           0.003           0.004           0.006           0.009           0.008           0.009           0.007           0.007           0.005           0.003           0.007           0.003                  0.003                  0.004                  0.006                  0.009                  0.008                  0.009                  0.007                  0.007                  0.007                  0.004                  0.008                  2           2           2           2           2           2           2           2           2           2           2           2           0                0                0                0                0                0                0                0                0                0                0                0                12290 183.912708 36.327239 0.00103081536045179  
  69286 18169  163.657726018 56.9889913338 3.5          5.59075594  16.147     16.352     16.383     15.758     16.251     16.092     16.466     16.804     16.583     15.859     15.05      16.079     16.436      16.537      16.752      16.272      16.605      16.281      16.811      16.926      16.747      16.127      15.176      16.562      16.773             16.895             17.073             16.985             17.173             16.707             17.089             17.08              17.069             16.415             15.449             17.16              0.03           0.039          0.045          0.06           0.093          0.078          0.107          0.135          0.096          0.05           0.022          0.093          0.019           0.022           0.029           0.043           0.063           0.046           0.072           0.072           0.054           0.031           0.012           0.066           0.007                  0.008                  0.01                   0.018                  0.028                  0.02                   0.026                  0.021                  0.02                   0.012                  0.006                  0.026                  3           3           3           3           3           3           3           3           3           3           3           3           0                0                0                0                0                0                0                0                0                0                0                0                18169 163.657726 56.988991 0.0012021984672198624
  63728 10889  186.494024865 33.604858222  0.0          0.0         99.0       19.459     99.0       18.114     17.74      99.0       99.0       15.902     18.33      99.0       18.066     17.286     99.0        99.0        99.0        99.0        18.522      99.0        99.0        15.765      99.0        99.0        99.0        18.569      18.613             18.837             18.957             18.982             18.698             18.36              18.811             18.985             18.918             19.035             17.237             19.095             99.0           1.373          99.0           1.072          0.603          99.0           99.0           0.104          0.896          99.0           0.821          0.627          99.0            99.0            99.0            99.0            1.498           99.0            99.0            0.112           99.0            99.0            99.0            2.528           0.027                  0.033                  0.043                  0.094                  0.076                  0.062                  0.094                  0.082                  0.071                  0.087                  0.02                   0.133                  3           3           3           3           3           3           3           3           3           3           3           3           0                0                0                0                0                0                0                0                0                0                0                0                10889 186.494025 33.604858 8.958598886837097E-4 
  63728 15748  186.398923916 33.5218142927 10.5600004   7.39020872  17.914     17.669     18.911     18.402     17.371     17.277     17.879     17.997     17.438     17.868     16.465     17.761     18.611      17.87       20.237      20.142      17.407      16.959      18.168      18.149      17.074      17.84       16.622      17.404      19.057             18.986             19.573             19.599             19.263             18.776             19.397             19.409             19.378             19.495             17.795             19.573             0.124          0.097          0.39           0.518          0.149          0.161          0.281          0.255          0.139          0.229          0.066          0.351          0.36            0.175           2.034           3.879           0.224           0.18            0.533           0.433           0.147           0.327           0.114           0.379           0.038                  0.037                  0.072                  0.161                  0.102                  0.074                  0.132                  0.105                  0.094                  0.116                  0.028                  0.194                  3           3           3           3           3           3           3           3           3           3           3           3           0                0                0                0                0                0                0                0                0                0                0                0                15748 186.398924 33.521814 0.001083458373028489 
  73559 18072  333.451923779 17.3766508386 5.93999958   4.42507219  18.159     18.161     18.18      17.958     18.742     18.308     18.495     18.417     18.465     17.815     16.955     18.489     18.129      18.026      18.091      17.862      18.822      18.265      18.514      18.343      18.344      17.719      16.897      18.393      18.592             18.599             18.824             18.672             18.929             18.776             18.69              18.929             18.795             18.248             17.278             19.066             0.048          0.047          0.056          0.104          0.163          0.117          0.138          0.104          0.11           0.059          0.028          0.221          0.063           0.055           0.07            0.13            0.235           0.149           0.188           0.131           0.132           0.072           0.035           0.274           0.033                  0.035                  0.046                  0.089                  0.092                  0.083                  0.08                   0.079                  0.072                  0.044                  0.021                  0.168                  0           0           0           0           0           0           0           0           0           0           0           0           0                0                0                0                0                0                0                0                0                0                0                0                18072 333.451924 17.376651 9.561012225359052E-4 
  67002 15821  224.909850595 44.6760851982 10.5600004   5.19998264  17.379     17.715     17.494     17.11      18.113     17.84      17.686     17.866     17.949     18.01      16.359     17.377     17.345      18.089      17.767      16.895      17.754      18.581      17.979      17.929      18.258      18.579      16.325      17.288      18.298             18.43              18.527             18.484             18.826             18.356             18.546             18.695             18.593             18.835             17.04              18.683             0.036          0.056          0.063          0.09           0.228          0.207          0.151          0.136          0.141          0.145          0.031          0.135          0.076           0.168           0.18            0.162           0.347           0.858           0.415           0.301           0.382           0.516           0.063           0.273           0.023                  0.032                  0.04                   0.076                  0.114                  0.089                  0.089                  0.079                  0.07                   0.082                  0.02                   0.108                  3           3           3           3           3           3           3           3           3           3           3           3           0                0                0                0                0                0                0                0                0                0                0                0                15821 224.909851 44.676085 0.0012585747064270353
  62617 9746   194.865739844 27.6362671396 3.96000004   3.5         15.791     15.621     17.324     17.38      16.157     15.67      17.014     17.231     16.71      17.663     13.523     17.538     15.78       15.608      17.312      17.364      16.145      15.656      16.996      17.207      16.706      17.659      13.509      17.476      15.906             15.751             17.433             17.576             16.317             15.844             17.163             17.361             16.858             17.784             13.666             17.676             0.005          0.005          0.019          0.046          0.015          0.011          0.032          0.033          0.02           0.045          0.002          0.061          0.005           0.005           0.021           0.051           0.017           0.012           0.034           0.036           0.022           0.05            0.002           0.065           0.004                  0.004                  0.013                  0.033                  0.013                  0.01                   0.024                  0.024                  0.015                  0.031                  0.002                  0.041                  0           0           0           0           0           0           0           0           0           0           0           0           0                0                0                0                0                0                0                0                0                0                0                0                9746  194.86574  27.636267 7.071773471759843E-4 
  68450 10025  225.313422771 52.5988011019 6.59999943   4.2743969   18.242     18.121     18.772     18.593     18.6       18.078     18.461     18.812     18.56      17.305     16.636     18.685     18.266      18.121      18.774      18.399      19.473      17.953      18.058      18.797      18.514      17.408      16.579      18.676      18.42              18.398             19.006             18.863             18.878             18.315             18.809             19.008             18.882             17.498             16.845             19.09              0.039          0.036          0.107          0.191          0.128          0.084          0.119          0.127          0.097          0.033          0.019          0.23           0.063           0.056           0.173           0.257           0.442           0.117           0.128           0.195           0.144           0.053           0.026           0.366           0.026                  0.028                  0.068                  0.126                  0.091                  0.059                  0.09                   0.084                  0.072                  0.024                  0.015                  0.172                  3           3           3           3           3           3           3           3           3           3           3           3           0                0                0                0                0                0                0                0                0                0                0                0                10025 225.313423 52.598801 6.207305686262533E-4 
  75211 19498  131.066066367 41.7187450599 5.27999973   3.5         15.787     15.417     16.309     16.255     16.059     15.878     15.782     16.123     15.931     14.325     14.173     16.379     15.754      15.388      16.28       16.236      16.008      15.836      15.775      16.079      15.895      14.277      14.119      16.337      16.334             15.918             16.991             17.006             16.583             16.39              16.349             16.657             16.538             14.875             14.716             17.048             0.004          0.006          0.016          0.027          0.018          0.01           0.015          0.008          0.014          0.005          0.004          0.028          0.006           0.007           0.023           0.039           0.023           0.013           0.02            0.01            0.019           0.005           0.005           0.04            0.003                  0.006                  0.012                  0.02                   0.015                  0.009                  0.014                  0.007                  0.013                  0.005                  0.005                  0.021                  3           3           3           3           3           3           3           3           3           3           3           3           0                0                0                0                0                0                0                0                0                0                0                0                19498 131.066066 41.718745 0.0010094717929684672
  63864 47481  283.393294541 33.0335435994 5.27999973   3.5         9.449      9.567      11.08      10.863     10.067     9.31       10.585     11.542     11.112     11.492     7.131      11.547     9.429       9.552       10.993      10.781      10.053      9.301       10.569      11.497      11.075      11.415      7.123       11.419      14.257             13.638             15.702             15.342             14.895             14.277             14.948             16.026             15.523             16.126             11.925             16.347             0.0            0.0            0.002          0.003          0.001          0.001          0.001          0.003          0.002          0.003          0.0            0.006          0.001           0.001           0.004           0.006           0.001           0.001           0.002           0.004           0.003           0.005           0.0             0.01            0.002                  0.002                  0.005                  0.006                  0.007                  0.006                  0.008                  0.011                  0.008                  0.011                  0.001                  0.017                  3           3           3           3           3           3           3           3           3           3           3           3           0                0                0                0                0                0                0                0                0                0                0                0                47481 283.393295 33.033544 0.0019997149088547468
  63864 51786  283.400161912 33.0238110322 5.27999973   3.5         9.798      9.961      11.591     11.328     10.397     9.617      10.972     12.016     11.56      12.004     7.458      12.185     9.768       9.939       11.479      11.226      10.373      9.594       10.947      11.963      11.517      11.925      7.44        12.005      13.852             13.837             15.639             15.328             14.548             13.771             14.97              16.063             15.584             16.086             11.5               16.308             0.0            0.0            0.002          0.004          0.001          0.001          0.002          0.003          0.002          0.003          0.0            0.008          0.001           0.001           0.004           0.006           0.001           0.001           0.002           0.005           0.003           0.005           0.0             0.013           0.002                  0.002                  0.005                  0.007                  0.006                  0.004                  0.008                  0.012                  0.009                  0.011                  0.001                  0.016                  3           3           3           3           3           3           3           3           3           3           3           3           0                0                0                0                0                0                0                0                0                0                0                0                51786 283.400162 33.023811 2.8981191611333695E-4
