Tile	Number	RA	Dec	rSDSS_auto	gSDSS_auto	iSDSS_auto	zSDSS_auto	uJAVA_auto	J0378_auto	J0395_auto	J0410_auto	J0430_auto	J0515_auto	J0660_auto	J0861_auto	rSDSS_PETRO	gSDSS_PETRO	iSDSS_PETRO	zSDSS_PETRO	uJAVA_PETRO	J0378_PETRO	J0395_PETRO	J0410_PETRO	J0430_PETRO	J0515_PETRO	J0660_PETRO	J0861_PETRO	rSDSS_MAG_APER_6_0	gSDSS_MAG_APER_6_0	iSDSS_MAG_APER_6_0	zSDSS_MAG_APER_6_0	uJAVA_MAG_APER_6_0	J0378_MAG_APER_6_0	J0395_MAG_APER_6_0	J0410_MAG_APER_6_0	J0430_MAG_APER_6_0	J0515_MAG_APER_6_0	J0660_MAG_APER_6_0	J0861_MAG_APER_6_0	rSDSS_auto_err	gSDSS_auto_err	iSDSS_auto_err	zSDSS_auto_err	uJAVA_auto_err	J0378_auto_err	J0395_auto_err	J0410_auto_err	J0430_auto_err	J0515_auto_err	J0660_auto_err	J0861_auto_err	rSDSS_PETRO_err	gSDSS_PETRO_err	iSDSS_PETRO_err	zSDSS_PETRO_err	uJAVA_PETRO_err	J0378_PETRO_err	J0395_PETRO_err	J0410_PETRO_err	J0430_PETRO_err	J0515_PETRO_err	J0660_PETRO_err	J0861_PETRO_err	rSDSS_MAG_APER_6_0_err	gSDSS_MAG_APER_6_0_err	iSDSS_MAG_APER_6_0_err	zSDSS_MAG_APER_6_0_err	uJAVA_MAG_APER_6_0_err	J0378_MAG_APER_6_0_err	J0395_MAG_APER_6_0_err	J0410_MAG_APER_6_0_err	J0430_MAG_APER_6_0_err	J0515_MAG_APER_6_0_err	J0660_MAG_APER_6_0_err	J0861_MAG_APER_6_0_err	rSDSS_FLAGS	gSDSS_FLAGS	iSDSS_FLAGS	zSDSS_FLAGS	uJAVA_FLAGS	J0378_FLAGS	J0395_FLAGS	J0410_FLAGS	J0430_FLAGS	J0515_FLAGS	J0660_FLAGS	J0861_FLAGS	rSDSS_MASK_FLAGS	gSDSS_MASK_FLAGS	iSDSS_MASK_FLAGS	zSDSS_MASK_FLAGS	uJAVA_MASK_FLAGS	J0378_MASK_FLAGS	J0395_MASK_FLAGS	J0410_MASK_FLAGS	J0430_MASK_FLAGS	J0515_MASK_FLAGS	J0660_MASK_FLAGS	J0861_MASK_FLAGS	P(PN)	P(SySt)	P(all else)
74708	16357	349.39948552	33.9032545128	13.465	13.04	14.666	11.523	15.244	15.133	14.824	13.832	13.532	12.735	11.9	11.48	13.45	13.038	14.595	11.518	15.218	15.093	14.801	13.826	13.527	12.731	11.896	11.477	15.398	16.073	15.793	14.7	18.545	18.372	17.954	17.09	16.891	16.105	14.89	14.765	0.002	0.001	0.007	0.001	0.017	0.017	0.014	0.005	0.003	0.002	0.001	0.001	0.002	0.002	0.008	0.001	0.022	0.022	0.017	0.006	0.004	0.002	0.001	0.001	0.003	0.005	0.005	0.004	0.079	0.075	0.053	0.021	0.016	0.009	0.004	0.005	3	3	3	3	3	3	3	3	3	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	1.4214211417871941e-05	0.9181408803859378	0.0818449054026443
65865	40412	262.770286501	40.8732762063	17.142	17.624	16.961	16.887	18.929	18.686	18.868	18.098	18.08	17.471	15.828	16.872	17.142	17.624	16.961	16.887	18.929	18.686	18.868	18.098	18.08	17.471	15.828	16.872	17.186	17.653	17.021	16.952	18.973	18.723	18.857	18.117	18.129	17.505	15.967	16.944	0.01	0.016	0.011	0.019	0.098	0.083	0.098	0.04	0.038	0.024	0.01	0.024	0.01	0.016	0.011	0.019	0.098	0.083	0.098	0.04	0.038	0.024	0.01	0.024	0.01	0.015	0.011	0.017	0.087	0.073	0.083	0.036	0.035	0.023	0.011	0.022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0015212407530761321	0.8653555766167683	0.1331231826301555
65808	24338	252.908753327	40.6770596117	17.352	17.865	17.197	17.151	19.863	19.055	19.242	18.388	18.316	17.792	16.409	17.158	17.352	17.865	17.197	17.151	19.863	19.055	19.242	18.388	18.316	17.792	16.409	17.158	17.39	17.89	17.221	17.18	19.757	19.021	19.189	18.381	18.366	17.816	16.423	17.197	0.012	0.019	0.016	0.025	0.241	0.121	0.145	0.053	0.048	0.032	0.012	0.032	0.012	0.019	0.016	0.025	0.241	0.121	0.145	0.053	0.048	0.032	0.012	0.032	0.011	0.018	0.014	0.022	0.183	0.099	0.117	0.046	0.043	0.029	0.011	0.028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0006727318449281184	0.8656516217995353	0.1336756463555365
73665	3877	332.003771177	20.8515222478	16.002	16.751	15.744	15.643	18.882	18.997	18.433	17.527	17.394	16.623	15.417	15.678	15.988	16.738	15.729	15.633	18.883	18.871	18.422	17.545	17.391	16.605	15.409	15.671	16.111	16.875	15.817	15.717	18.989	18.959	18.642	17.688	17.484	16.701	15.467	15.741	0.006	0.011	0.005	0.01	0.157	0.183	0.111	0.044	0.036	0.019	0.007	0.013	0.006	0.012	0.006	0.011	0.178	0.184	0.124	0.05	0.041	0.021	0.007	0.014	0.005	0.009	0.004	0.007	0.106	0.108	0.084	0.033	0.026	0.015	0.006	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5047854882730403e-05	0.8258820991838852	0.17410285296123207
63830	62292	279.317535338	33.6938750231	13.274	13.346	11.704	11.263	16.988	16.673	16.4	15.065	14.47	13.089	11.861	11.222	13.279	13.347	11.707	11.267	16.995	16.672	16.382	15.066	14.472	13.091	11.863	11.224	13.765	13.69	12.216	11.732	17.351	16.993	16.748	15.385	14.758	13.392	12.205	11.565	0.002	0.001	0.001	0.001	0.042	0.035	0.028	0.008	0.005	0.002	0.001	0.001	0.001	0.001	0.001	0.001	0.04	0.033	0.026	0.007	0.004	0.002	0.001	0.001	0.002	0.001	0.001	0.001	0.028	0.023	0.02	0.006	0.004	0.002	0.001	0.001	3	3	3	3	3	3	3	3	3	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	6.828914986030792e-09	0.8011008209396383	0.1988991722314468
65819	14314	255.386051982	40.007441577	16.934	17.456	16.738	16.656	18.942	19.004	18.628	18.022	17.993	17.306	15.842	16.739	16.934	17.456	16.738	16.656	18.942	19.004	18.628	18.022	17.993	17.306	15.842	16.739	16.953	17.473	16.757	16.673	18.957	19.091	18.644	18.072	17.996	17.315	15.854	16.746	0.008	0.014	0.009	0.016	0.099	0.112	0.081	0.038	0.036	0.021	0.008	0.02	0.008	0.014	0.009	0.016	0.099	0.112	0.081	0.038	0.036	0.021	0.008	0.02	0.008	0.013	0.009	0.014	0.088	0.106	0.073	0.036	0.033	0.02	0.008	0.018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000504910324231457	0.8444458743164375	0.15504921535933108
74752	27143	22.6158657321	34.2450054187	14.624	11.744	10.585	11.036	14.758	14.556	14.101	13.023	12.53	11.46	10.809	11.656	14.578	11.741	10.583	11.029	14.757	14.554	14.085	13.021	12.525	11.458	10.807	11.648	16.419	16.832	15.451	13.153	19.913	19.595	19.267	18.123	17.628	16.629	15.629	16.075	0.005	0.001	0.001	0.0	0.005	0.006	0.004	0.002	0.002	0.001	0.001	0.001	0.008	0.001	0.001	0.001	0.008	0.009	0.006	0.003	0.002	0.001	0.001	0.001	0.009	0.013	0.007	0.001	0.115	0.119	0.096	0.042	0.029	0.016	0.008	0.008	3	3	3	3	3	3	3	3	3	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	1.722106869832178e-07	0.987791568441207	0.012208259348106154
67156	43680	276.033488257	44.7731705629	17.162	17.747	16.952	16.904	19.21	19.252	19.344	18.434	18.286	17.556	15.814	16.918	17.162	17.747	16.952	16.904	19.21	19.252	19.344	18.434	18.286	17.556	15.814	16.918	17.175	17.759	16.96	16.923	19.226	19.275	19.264	18.459	18.311	17.593	15.817	16.924	0.009	0.014	0.012	0.02	0.116	0.127	0.142	0.049	0.039	0.024	0.008	0.026	0.009	0.014	0.012	0.02	0.116	0.127	0.142	0.049	0.039	0.024	0.008	0.026	0.009	0.013	0.011	0.018	0.107	0.117	0.119	0.046	0.037	0.023	0.007	0.023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0004975096932221831	0.9417121300586712	0.05779036024810653
68462	14977	227.376680071	52.8358752317	18.207	18.52	18.113	18.081	19.4	19.376	19.14	18.969	18.735	18.483	16.259	18.165	18.207	18.52	18.113	18.081	19.4	19.376	19.14	18.969	18.735	18.483	16.259	18.165	18.214	18.522	18.118	18.091	19.389	19.368	19.138	18.968	18.744	18.47	16.258	18.173	0.019	0.026	0.027	0.053	0.121	0.125	0.105	0.071	0.055	0.045	0.01	0.065	0.019	0.026	0.027	0.053	0.121	0.125	0.105	0.071	0.055	0.045	0.01	0.065	0.02	0.027	0.027	0.054	0.121	0.126	0.106	0.072	0.057	0.045	0.01	0.066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04835061554245477	0.9245073792557036	0.027142005201841603
69771	6655	203.0384745	58.0005328771	16.916	17.422	16.778	16.686	18.821	18.609	18.694	17.94	17.86	17.264	15.79	16.734	16.916	17.422	16.778	16.686	18.821	18.609	18.694	17.94	17.86	17.264	15.79	16.734	16.974	17.472	16.826	16.756	19.004	18.697	18.72	18.009	17.925	17.314	15.811	16.788	0.009	0.013	0.01	0.02	0.098	0.085	0.094	0.039	0.036	0.023	0.008	0.025	0.009	0.013	0.01	0.02	0.098	0.085	0.094	0.039	0.036	0.023	0.008	0.025	0.008	0.012	0.008	0.016	0.089	0.071	0.074	0.034	0.031	0.02	0.008	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0010912189949705052	0.8828573666511784	0.11605141435385095
