#MAIN_ID RA DEC RA_PREC DEC_PREC COO_ERR_MAJA COO_ERR_MINA COO_ERR_ANGLE COO_QUAL COO_WAVELENGTH COO_BIBCODE SP_TYPE SP_QUAL SP_BIBCODE OTYPE Distance_distance Distance_Q Distance_unit Distance_merr Distance_perr Distance_method Distance_bibcode RVZ_TYPE RVZ_RADVEL RVZ_ERROR RVZ_QUAL RVZ_WAVELENGTH RVZ_BIBCODE OTYPES RA_d DEC_d BIBLIST_1990_2020
"b'LEDA 2448110'" "14 04 57.8" "+53 41 28" 5 5 "" "" 0 D O b'2003A&A...412...45P' b'' "" b'' b'Galaxy' "" "" "" "" "" "" "" "" "" "" "" "" b'' b'G' 211.24080000 53.69110000 2
"b'[SAB2000] 140040.94+542802.4'" "14 02 27.54" "+54 13 37.9" 6 6 "" "" 0 D "" b'2000ApJ...538..608S' b'' "" b'' b'UV' "" "" "" "" "" "" "" "" "" "" "" "" b'' b'UV' 210.61475000 54.22719000 1
"b'[VSH98] NGC 5457 -398-436'" "14 02 27.1104" "+54 13 39.000" 8 8 "" "" 0 D "" b'1998AJ....116.2805V' b'' "" b'' b'HII' "" "" "" "" "" "" "" "" "" "" "" "" b'' b'HII' 210.61296000 54.22750000 3
"b'HGGK   89'" "14 02 24.1" "+54 27 55" 5 5 "" "" 0 D "" b'' b'' "" b'' b'HII' "" "" "" "" "" "" "" "" "" "" "" "" b'' b'HII' 210.60040000 54.46530000 1
"b'HGGK  101'" "14 02 25.3" "+54 27 17" 5 5 "" "" 0 D "" b'' b'' "" b'' b'HII' "" "" "" "" "" "" "" "" "" "" "" "" b'' b'HII' 210.60540000 54.45470000 1
"b'SDH 306'" "14 02 25.3" "+54 27 14" 5 5 "" "" 0 D "" b'1992AJ....104...92S' b'' "" b'' b'HII' "" "" "" "" "" "" "" "" "" "" "" "" b'' b'HII' 210.60540000 54.45390000 1
"b'HGGK 1148'" "14 03 49.700" "+54 27 51.46" 7 7 "" "" 0 D O b'2016ApJ...830....4C' b'' "" b'' b'HII' "" "" "" "" "" "" "" "" "" "" "" "" b'' b'HII|HII' 210.95708300 54.46429400 4
"b'HGGK 1216'" "14 04 10.9745" "+54 25 21.314" 14 14 0.928 0.888 90 A O b'2018yCat.1345....0G' b'' "" b'' b'HII' "" "" "" "" "" "" "" z 0.001 0.000 C "" b'2009yCat.2294....0A' b'HII|HII|HII|*|PoG|GiG|UV' 211.04572740 54.42258741 18
"b'SDSS J140411.24+542518.6'" "14 04 11.240" "+54 25 18.73" 7 7 "" "" 0 C O b'2009yCat.2294....0A' b'' "" b'' b'HII_G' "" "" "" "" "" "" "" z 0.001 0.000 C "" b'2009yCat.2294....0A' b'HII|G|GiG|H2G' 211.04683300 54.42186900 3
"b'2MASS J14041116+5425179'" "14 04 11.17" "+54 25 17.9" 6 6 230.000 220.000 74 C I b'2003yCat.2246....0C' b'' "" b'' b'UV' "" "" "" "" "" "" "" "" "" "" "" "" b'' b'IR|UV' 211.04654000 54.42164000 1
"b'SDSSCGB 11596.3'" "14 02 17.974" "+54 22 22.34" 7 7 "" "" 0 C O b'2009yCat.2294....0A' b'' "" b'' b'Galaxy' "" "" "" "" "" "" "" "" "" "" "" "" b'' b'G|GiG' 210.57489200 54.37287200 1
"b'SDH 232'" "14 02 18.4" "+54 22 22" 5 5 "" "" 0 D "" b'1992AJ....104...92S' b'' "" b'' b'HII' "" "" "" "" "" "" "" "" "" "" "" "" b'' b'HII' 210.57670000 54.37280000 1
"b'SDSS J140233.07+542530.4'" "14 02 33.08" "+54 25 30.5" 6 6 56.000 55.000 0 C O b'2007yCat.2276....0A' b'' "" b'' b'HII' "" "" "" "" "" "" "" "" "" "" "" "" b'' b'HII' 210.63783000 54.42514000 1
