Tile	Number	RA	Dec	petro_radius	kron_radius	rSDSS_auto	gSDSS_auto	iSDSS_auto	zSDSS_auto	uJAVA_auto	J0378_auto	J0395_auto	J0410_auto	J0430_auto	J0515_auto	J0660_auto	J0861_auto	rSDSS_PETRO	gSDSS_PETRO	iSDSS_PETRO	zSDSS_PETRO	uJAVA_PETRO	J0378_PETRO	J0395_PETRO	J0410_PETRO	J0430_PETRO	J0515_PETRO	J0660_PETRO	J0861_PETRO	rSDSS_MAG_APER_6_0	gSDSS_MAG_APER_6_0	iSDSS_MAG_APER_6_0	zSDSS_MAG_APER_6_0	uJAVA_MAG_APER_6_0	J0378_MAG_APER_6_0	J0395_MAG_APER_6_0	J0410_MAG_APER_6_0	J0430_MAG_APER_6_0	J0515_MAG_APER_6_0	J0660_MAG_APER_6_0	J0861_MAG_APER_6_0	rSDSS_auto_err	gSDSS_auto_err	iSDSS_auto_err	zSDSS_auto_err	uJAVA_auto_err	J0378_auto_err	J0395_auto_err	J0410_auto_err	J0430_auto_err	J0515_auto_err	J0660_auto_err	J0861_auto_err	rSDSS_PETRO_err	gSDSS_PETRO_err	iSDSS_PETRO_err	zSDSS_PETRO_err	uJAVA_PETRO_err	J0378_PETRO_err	J0395_PETRO_err	J0410_PETRO_err	J0430_PETRO_err	J0515_PETRO_err	J0660_PETRO_err	J0861_PETRO_err	rSDSS_MAG_APER_6_0_err	gSDSS_MAG_APER_6_0_err	iSDSS_MAG_APER_6_0_err	zSDSS_MAG_APER_6_0_err	uJAVA_MAG_APER_6_0_err	J0378_MAG_APER_6_0_err	J0395_MAG_APER_6_0_err	J0410_MAG_APER_6_0_err	J0430_MAG_APER_6_0_err	J0515_MAG_APER_6_0_err	J0660_MAG_APER_6_0_err	J0861_MAG_APER_6_0_err	rSDSS_FLAGS	gSDSS_FLAGS	iSDSS_FLAGS	zSDSS_FLAGS	uJAVA_FLAGS	J0378_FLAGS	J0395_FLAGS	J0410_FLAGS	J0430_FLAGS	J0515_FLAGS	J0660_FLAGS	J0861_FLAGS	rSDSS_MASK_FLAGS	gSDSS_MASK_FLAGS	iSDSS_MASK_FLAGS	zSDSS_MASK_FLAGS	uJAVA_MASK_FLAGS	J0378_MASK_FLAGS	J0395_MASK_FLAGS	J0410_MASK_FLAGS	J0430_MASK_FLAGS	J0515_MASK_FLAGS	J0660_MASK_FLAGS	J0861_MASK_FLAGS	P(PN)	P(SySt)	P(all else)
68095	31152	280.876950609	50.0751057942	3.5	3.5	13.029	12.351	11.625	11.375	14.008	13.843	13.574	12.793	12.642	11.943	11.515	11.3	13.029	12.351	11.625	11.375	14.008	13.843	13.574	12.793	12.642	11.943	11.515	11.3	13.404	12.588	12.046	11.687	14.158	14.014	13.735	12.945	12.805	12.094	11.697	11.502	0.002	0.001	0.001	0.001	0.007	0.006	0.005	0.002	0.002	0.001	0.001	0.001	0.002	0.001	0.001	0.001	0.007	0.006	0.005	0.002	0.002	0.001	0.001	0.001	0.002	0.001	0.001	0.001	0.004	0.004	0.003	0.002	0.002	0.001	0.001	0.001	3	3	3	3	3	3	3	3	3	3	3	3	2	2	2	2	2	2	2	2	2	2	2	2	0.07997900004019681	0.6174130494566124	0.30260795050319095
74839	21093	0.998591967141	35.8971711972	3.5	3.5	12.55	11.835	13.46	11.115	13.798	13.591	13.336	12.357	12.076	11.228	10.697	10.249	12.55	11.835	13.46	11.115	13.798	13.591	13.336	12.357	12.076	11.228	10.697	10.249	15.873	16.218	15.312	14.623	18.733	18.435	18.345	17.217	16.926	15.814	15.125	14.735	0.002	0.001	0.005	0.001	0.01	0.008	0.007	0.003	0.002	0.001	0.001	0.001	0.002	0.001	0.005	0.001	0.01	0.008	0.007	0.003	0.002	0.001	0.001	0.001	0.004	0.005	0.004	0.004	0.08	0.065	0.061	0.02	0.016	0.007	0.005	0.005	3	3	3	3	3	3	3	3	3	3	3	3	2	2	2	2	2	2	2	2	2	2	2	2	0.010277913225283705	0.8779605277930405	0.11176155898167597
74839	21863	0.998667185591	35.8978616729	6.59999943	12.5961342	12.036	11.135	15.02	10.563	13.106	12.891	12.626	11.633	11.364	10.521	10.001	9.566	12.405	12.393	15.988	12.141	15.055	14.786	14.654	13.427	13.192	12.117	11.406	11.006	15.631	16.135	16.779	14.733	18.738	18.259	18.098	16.823	16.721	15.507	15.007	14.442	0.001	0.0	0.006	0.001	0.002	0.002	0.002	0.001	0.001	0.0	0.001	0.0	0.001	0.001	0.008	0.001	0.006	0.006	0.005	0.002	0.002	0.001	0.001	0.001	0.006	0.007	0.011	0.004	0.084	0.059	0.051	0.016	0.015	0.007	0.006	0.005	3	3	3	3	3	3	3	3	3	3	3	3	2	2	2	2	2	2	2	2	2	2	2	2	0.2295171805023649	0.5500104835144956	0.2204723359831396
67870	2	278.922904391	47.8095293734	5.93999958	7.34128666	19.03	20.147	17.073	17.299	21.281	21.487	20.876	20.383	20.112	19.774	17.642	16.763	19.079	20.186	17.657	17.389	21.332	21.632	21.032	20.357	21.262	20.028	18.124	17.408	19.112	20.677	17.142	17.336	21.306	22.131	21.055	20.798	20.485	20.518	17.76	16.799	0.105	0.295	0.024	0.124	1.976	2.528	1.494	0.709	0.531	0.375	0.061	0.054	0.089	0.247	0.032	0.108	1.667	2.32	1.379	0.555	1.219	0.38	0.075	0.078	0.076	0.319	0.02	0.086	1.351	3.085	1.168	0.696	0.5	0.494	0.049	0.041	1	1	0	0	0	0	0	0	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	2.9092248225095086e-05	0.9607816681894148	0.03918923956236004
70419	5806	106.82944844	68.9934237535	10.5600004	7.79040337	14.038	11.819	15.677	10.668	14.052	13.98	13.487	12.641	12.249	11.419	10.894	10.651	13.547	10.763	15.432	9.86	13.002	12.915	12.399	11.573	11.201	10.355	9.883	9.657	16.258	16.355	16.328	14.542	18.666	18.49	18.169	17.389	16.895	16.098	15.294	14.843	0.003	0.001	0.004	0.001	0.004	0.004	0.003	0.002	0.002	0.001	0.001	0.001	0.002	0.001	0.004	0.0	0.003	0.003	0.002	0.001	0.001	0.001	0.0	0.0	0.007	0.009	0.007	0.005	0.08	0.069	0.056	0.027	0.019	0.012	0.007	0.006	3	3	3	3	3	3	3	3	3	3	3	3	2	2	2	2	2	2	2	2	2	2	2	2	0.03656867250472814	0.7664137910442229	0.1970175364510488
70419	6657	106.829776183	68.991976723	3.5	3.5	13.206	11.432	13.482	10.409	13.69	13.593	13.083	12.261	11.896	11.031	10.545	10.307	13.206	11.432	13.482	10.409	13.69	13.593	13.083	12.261	11.896	11.031	10.545	10.307	14.381	14.688	14.96	13.395	17.011	16.799	16.335	15.539	15.198	14.216	13.8	13.448	0.002	0.001	0.003	0.001	0.006	0.006	0.004	0.002	0.002	0.001	0.001	0.001	0.002	0.001	0.003	0.001	0.006	0.006	0.004	0.002	0.002	0.001	0.001	0.001	0.003	0.004	0.004	0.002	0.024	0.021	0.016	0.009	0.007	0.004	0.003	0.003	3	3	3	3	3	3	3	3	3	3	3	3	2	2	2	2	2	2	2	2	2	2	2	2	0.1521325432944522	0.6093500611557188	0.23851739554982904
71916	6735	13.4544630215	3.7140181172	3.5	4.31525946	13.131	10.665	12.811	11.58	12.36	12.152	11.91	11.12	10.933	10.17	9.827	9.631	13.183	10.671	12.839	11.594	12.363	12.152	11.915	11.125	10.939	10.175	9.829	9.633	15.403	15.459	15.146	14.489	17.428	17.353	17.244	16.32	15.903	15.239	14.539	14.376	0.005	0.001	0.005	0.003	0.006	0.004	0.003	0.002	0.001	0.001	0.001	0.001	0.004	0.0	0.004	0.003	0.005	0.004	0.003	0.001	0.001	0.001	0.001	0.001	0.005	0.005	0.004	0.005	0.041	0.038	0.034	0.015	0.012	0.007	0.005	0.005	3	3	3	3	3	3	3	3	3	3	3	3	2	2	2	2	2	2	2	2	2	2	2	2	0.09790315243865744	0.6231607182858444	0.27893612927549805
71916	7656	13.3689736879	3.30261850704	3.5	4.03643942	12.531	12.538	12.27	11.82	10.074	9.74	9.628	9.288	9.196	9.156	9.135	9.165	12.564	12.569	12.307	11.849	10.078	9.741	9.631	9.289	9.198	9.157	9.137	9.167	15.231	15.55	14.467	14.216	16.105	15.995	15.927	15.332	14.969	14.685	14.246	14.127	0.004	0.003	0.005	0.006	0.001	0.001	0.001	0.001	0.0	0.0	0.0	0.001	0.003	0.003	0.004	0.005	0.001	0.001	0.001	0.001	0.0	0.0	0.0	0.001	0.004	0.006	0.003	0.004	0.017	0.016	0.015	0.009	0.007	0.005	0.004	0.004	3	3	3	3	3	3	3	3	3	3	3	3	2	2	2	2	2	2	2	2	2	2	2	2	0.02486889497916353	0.5320578990271735	0.44307320599366296
71916	12775	13.4526995003	3.71335375216	6.59999943	4.18877602	13.431	10.636	13.269	11.629	12.336	12.137	11.913	11.105	10.905	10.151	9.793	9.6	13.395	10.631	13.224	11.603	12.33	12.13	11.906	11.096	10.898	10.148	9.792	9.598	15.485	15.835	15.021	14.459	18.047	17.873	17.798	16.714	16.287	15.543	14.724	14.364	0.003	0.0	0.003	0.002	0.003	0.002	0.002	0.001	0.001	0.001	0.0	0.0	0.004	0.0	0.005	0.002	0.004	0.003	0.003	0.001	0.001	0.001	0.0	0.001	0.004	0.006	0.004	0.004	0.065	0.055	0.051	0.02	0.015	0.008	0.005	0.005	3	3	3	3	3	3	3	3	3	3	3	3	2	2	2	2	2	2	2	2	2	2	2	2	0.02338752833331991	0.8184430598400324	0.15816941182664784
67870	21952	278.295072426	48.5488097372	3.5	3.5	12.579	10.131	12.329	11.531	12.191	11.996	11.664	10.78	10.464	9.72	9.178	11.565	12.579	10.131	12.329	11.531	12.191	11.996	11.664	10.78	10.464	9.72	9.178	11.565	14.629	15.365	14.426	13.843	18.192	17.595	17.399	16.522	16.237	15.109	14.058	14.072	0.003	0.0	0.003	0.004	0.003	0.003	0.002	0.001	0.001	0.001	0.0	0.003	0.003	0.0	0.003	0.004	0.003	0.003	0.002	0.001	0.001	0.001	0.0	0.003	0.003	0.005	0.002	0.003	0.049	0.034	0.03	0.014	0.012	0.006	0.003	0.004	3	3	3	3	3	3	3	3	3	3	3	3	2	2	2	2	2	2	2	2	2	2	2	2	0.012520121661435167	0.8877642158095319	0.09971566252903281
