# Tile  Number RA            Dec           rSDSS_auto gSDSS_auto iSDSS_auto zSDSS_auto uJAVA_auto J0378_auto J0395_auto J0410_auto J0430_auto J0515_auto J0660_auto J0861_auto rSDSS_PETRO gSDSS_PETRO iSDSS_PETRO zSDSS_PETRO uJAVA_PETRO J0378_PETRO J0395_PETRO J0410_PETRO J0430_PETRO J0515_PETRO J0660_PETRO J0861_PETRO rSDSS_MAG_APER_6_0 gSDSS_MAG_APER_6_0 iSDSS_MAG_APER_6_0 zSDSS_MAG_APER_6_0 uJAVA_MAG_APER_6_0 J0378_MAG_APER_6_0 J0395_MAG_APER_6_0 J0410_MAG_APER_6_0 J0430_MAG_APER_6_0 J0515_MAG_APER_6_0 J0660_MAG_APER_6_0 J0861_MAG_APER_6_0 rSDSS_auto_err gSDSS_auto_err iSDSS_auto_err zSDSS_auto_err uJAVA_auto_err J0378_auto_err J0395_auto_err J0410_auto_err J0430_auto_err J0515_auto_err J0660_auto_err J0861_auto_err rSDSS_PETRO_err gSDSS_PETRO_err iSDSS_PETRO_err zSDSS_PETRO_err uJAVA_PETRO_err J0378_PETRO_err J0395_PETRO_err J0410_PETRO_err J0430_PETRO_err J0515_PETRO_err J0660_PETRO_err J0861_PETRO_err rSDSS_MAG_APER_6_0_err gSDSS_MAG_APER_6_0_err iSDSS_MAG_APER_6_0_err zSDSS_MAG_APER_6_0_err uJAVA_MAG_APER_6_0_err J0378_MAG_APER_6_0_err J0395_MAG_APER_6_0_err J0410_MAG_APER_6_0_err J0430_MAG_APER_6_0_err J0515_MAG_APER_6_0_err J0660_MAG_APER_6_0_err J0861_MAG_APER_6_0_err rSDSS_FLAGS gSDSS_FLAGS iSDSS_FLAGS zSDSS_FLAGS uJAVA_FLAGS J0378_FLAGS J0395_FLAGS J0410_FLAGS J0430_FLAGS J0515_FLAGS J0660_FLAGS J0861_FLAGS rSDSS_MASK_FLAGS gSDSS_MASK_FLAGS iSDSS_MASK_FLAGS zSDSS_MASK_FLAGS uJAVA_MASK_FLAGS J0378_MASK_FLAGS J0395_MASK_FLAGS J0410_MASK_FLAGS J0430_MASK_FLAGS J0515_MASK_FLAGS J0660_MASK_FLAGS J0861_MASK_FLAGS P(PN)                  P(SySt)            P(all_else)          _q  RAJ2000    DEJ2000   _2MASS           Jmag   e_Jmag Hmag   e_Hmag Kmag   e_Kmag Qflg Rflg Bflg Cflg Xflg Aflg Separation          
  72981 941    37.3355356773 6.7759183869  13.917     14.705     15.743     13.482     16.814     16.684     16.45      15.532     15.342     14.583     13.81      13.522     13.917      14.705      15.743      13.482      16.814      16.684      16.45       15.532      15.342      14.583      13.81       13.522      13.97              14.757             16.159             13.54              16.891             16.762             16.493             15.592             15.411             14.638             13.86              13.578             0.002          0.003          0.009          0.002          0.023          0.021          0.019          0.009          0.007          0.005          0.003          0.003          0.002           0.003           0.009           0.002           0.023           0.021           0.019           0.009           0.007           0.005           0.003           0.003           0.002                  0.003                  0.01                   0.002                  0.02                   0.018                  0.016                  0.008                  0.007                  0.005                  0.003                  0.003                  0           0           1           0           0           0           0           0           0           0           0           0           0                0                0                0                0                0                0                0                0                0                0                0                5.134692944257334E-4   0.9241267866846589 0.07535974402091541  85  37.335457  6.776005  02292050+0646336 12.389 0.024  11.834 0.023  11.76  0.027  AAA  222  111  000  0    0    0.41991764626569134 
  75659 3063   141.864733022 36.8914557588 17.485     18.047     17.273     17.155     19.554     19.545     19.537     18.772     18.681     17.891     16.52      17.207     17.485      18.047      17.273      17.155      19.554      19.545      19.537      18.772      18.681      17.891      16.52       17.207      17.519             18.084             17.302             17.208             19.527             19.637             19.584             18.807             18.666             17.952             16.553             17.241             0.014          0.021          0.013          0.024          0.16           0.167          0.168          0.067          0.061          0.033          0.013          0.033          0.014           0.021           0.013           0.024           0.16            0.167           0.168           0.067           0.061           0.033           0.013           0.033           0.013                  0.02                   0.012                  0.022                  0.132                  0.154                  0.149                  0.06                   0.052                  0.031                  0.012                  0.029                  3           3           3           3           3           3           3           3           3           3           3           3           0                0                0                0                0                0                0                0                0                0                0                0                2.259967448202655E-4   0.8343175019085622 0.16545650134661766  88  141.864624 36.891548 09272750+3653295 16.07  0.087  15.835 0.163  15.807 0.226  ACD  222  222  ccc  0    0    0.456945460249481   
  62440 16343  106.500608896 24.6035732958 18.052     17.489     16.67      16.935     17.953     18.522     18.537     18.384     19.442     19.987     17.028     16.946     18.049      17.493      16.67       16.941      17.947      18.532      18.579      18.352      19.465      20.048      17.015      16.954      18.119             17.523             16.705             16.975             18.02              18.516             18.559             18.364             20.409             19.799             17.056             16.909             0.046          0.027          0.019          0.046          0.108          0.18           0.165          0.142          0.36           0.569          0.033          0.075          0.046           0.027           0.019           0.047           0.109           0.183           0.174           0.139           0.372           0.61            0.033           0.076           0.03                   0.018                  0.012                  0.025                  0.067                  0.114                  0.098                  0.088                  0.447                  0.286                  0.021                  0.045                  0           0           1           0           1           0           0           1           1           1           0           1           0                0                0                0                0                0                0                0                0                0                0                0                0.001251782817348847   0.9505748910480013 0.048173326134649815 91  106.500629 24.603571 07060015+2436128 16.021 0.07   15.472 0.087  15.846 0.201  AAC  222  111  000  0    0    0.06632054008567431 
  64054 28405  278.332254864 34.4490926543 13.762     12.029     12.946     9.307      15.251     14.725     14.483     13.246     12.895     11.588     10.478     9.277      13.737      12.027      12.878      9.299       15.217      14.691      14.481      13.253      12.898      11.586      10.476      9.272       15.432             15.948             14.299             12.28              19.253             18.855             18.537             17.203             16.931             15.56              14.307             12.543             0.003          0.001          0.002          0.0            0.02           0.014          0.011          0.004          0.003          0.001          0.001          0.0            0.005           0.001           0.004           0.0             0.034           0.023           0.017           0.005           0.004           0.002           0.001           0.001           0.005                  0.007                  0.003                  0.002                  0.151                  0.112                  0.087                  0.028                  0.023                  0.01                   0.005                  0.003                  3           3           3           3           3           3           3           3           3           3           3           3           0                0                0                0                0                0                0                0                0                0                0                0                2.1042159895917435E-10 0.8259364283951585 0.17406357139442     94  278.332283 34.449131 18331974+3426568 6.871  0.021  6.017  0.023  5.685  0.02   AAA  111  111  000  0    0    0.16134725902175967 
  70277 5335   282.892691892 66.1306943913 16.494     16.989     16.307     16.247     18.523     18.461     18.685     17.619     17.482     16.872     15.303     16.227     16.494      16.989      16.307      16.247      18.523      18.461      18.685      17.619      17.482      16.872      15.303      16.227      16.577             17.052             16.377             16.306             18.69              18.415             18.563             17.677             17.57              16.973             15.319             16.342             0.007          0.021          0.008          0.017          0.095          0.094          0.29           0.034          0.028          0.018          0.007          0.019          0.007           0.021           0.008           0.017           0.095           0.094           0.29            0.034           0.028           0.018           0.007           0.019           0.006                  0.017                  0.006                  0.013                  0.075                  0.062                  0.17                   0.026                  0.023                  0.015                  0.006                  0.015                  0           0           0           0           0           0           0           0           0           0           0           0           0                0                0                0                0                0                0                0                0                0                0                0                7.745350833365853E-4   0.929331474862882  0.06989399005378151  97  282.892799 66.130653 18513427+6607503 15.282 0.045  14.825 0.063  14.673 0.127  AAB  222  111  000  0    0    0.21575155120080697 
  66197 12653  139.34521779  41.999932921  12.07      12.765     11.753     11.482     14.185     13.8       13.637     13.276     13.137     12.612     11.684     11.598     12.046      12.737      11.729      11.459      14.161      13.781      13.613      13.254      13.109      12.587      11.664      11.578      14.651             15.407             14.396             14.069             16.453             16.147             16.023             15.8               15.681             15.277             13.907             14.206             0.001          0.003          0.001          0.002          0.016          0.013          0.011          0.006          0.006          0.004          0.002          0.003          0.002           0.003           0.002           0.002           0.018           0.015           0.012           0.007           0.006           0.004           0.002           0.004           0.003                  0.005                  0.003                  0.003                  0.015                  0.013                  0.013                  0.01                   0.009                  0.007                  0.003                  0.004                  2           2           2           2           2           2           2           2           2           2           2           2           0                0                0                0                0                0                0                0                0                0                0                0                4.3207180905871056E-4  0.7994925620799398 0.20007536611100143  100 139.345287 41.999943 09172286+4159597 11.475 0.025  10.557 0.02   10.131 0.021  EEE  222  111  000  2    0    0.18868088651538215 
  70325 14055  146.211184883 68.4468962229 15.676     16.451     15.372     15.11      17.795     17.157     17.193     16.97      16.933     16.227     15.029     15.216     15.631      16.406      15.325      15.075      17.849      17.092      17.165      16.971      16.832      16.199      14.993      15.163      16.239             17.025             15.992             15.761             18.297             17.616             17.836             17.482             17.358             16.752             15.446             15.815             0.007          0.015          0.006          0.009          0.129          0.072          0.073          0.051          0.045          0.025          0.008          0.013          0.009           0.019           0.007           0.011           0.178           0.089           0.093           0.066           0.054           0.031           0.01            0.016           0.005                  0.01                   0.005                  0.007                  0.068                  0.04                   0.047                  0.029                  0.025                  0.016                  0.007                  0.01                   0           0           0           0           0           0           0           0           0           0           0           0           0                0                0                0                0                0                0                0                0                0                0                0                3.0818429778234357E-4  0.8129414767365782 0.18675033896563936  103 146.211172 68.446869 09445068+6826487 14.559 0.054  13.869 0.065  13.446 0.049  AAA  222  111  000  0    0    0.09947244718771313 
  62557 15606  260.679878656 26.0770431592 16.044     16.884     15.77      15.657     19.175     19.383     18.565     17.788     17.51      16.788     15.053     15.684     16.044      16.884      15.77       15.657      19.175      19.383      18.565      17.788      17.51       16.788      15.053      15.684      16.116             16.951             15.822             15.714             19.279             19.432             18.828             17.88              17.585             16.839             15.121             15.737             0.005          0.01           0.005          0.009          0.149          0.194          0.097          0.039          0.029          0.017          0.005          0.011          0.005           0.01            0.005           0.009           0.149           0.194           0.097           0.039           0.029           0.017           0.005           0.011           0.005                  0.009                  0.004                  0.007                  0.111                  0.137                  0.085                  0.031                  0.024                  0.015                  0.005                  0.009                  0           0           0           0           0           0           0           0           0           0           0           0           0                0                0                0                0                0                0                0                0                0                0                0                1.1964152587473236E-5  0.9560749489640763 0.04391308688333621  109 260.679939 26.077093 17224318+2604375 14.554 0.037  13.988 0.051  13.963 0.046  AAA  222  111  000  0    0    0.2650801791549541  
  66300 20624  199.105920658 42.2355002218 17.082     17.425     16.952     16.944     18.542     18.39      18.345     17.816     17.758     17.364     15.637     16.931     17.082      17.425      16.952      16.944      18.542      18.39       18.345      17.816      17.758      17.364      15.637      16.931      17.098             17.447             16.977             16.981             18.596             18.404             18.36              17.836             17.783             17.379             15.642             16.946             0.009          0.01           0.011          0.02           0.068          0.057          0.053          0.031          0.03           0.023          0.007          0.028          0.009           0.01            0.011           0.02            0.068           0.057           0.053           0.031           0.03            0.023           0.007           0.028           0.008                  0.01                   0.01                   0.018                  0.062                  0.051                  0.047                  0.028                  0.027                  0.021                  0.007                  0.024                  0           0           0           0           0           0           0           0           0           0           0           0           0                0                0                0                0                0                0                0                0                0                0                0                0.008995651150292813   0.8917426971939642 0.09926165165574295  112 199.105866 42.235504 13162540+4214078 16.011 0.093  15.569 0.169  15.421 0.196  ACC  222  111  000  0    0    0.1463188621056169  
  63499 60838  279.943946995 32.1710416381 15.061     13.328     13.792     10.922     15.947     15.578     15.237     14.404     14.178     12.954     11.729     10.899     14.984      13.325      13.704      10.912      15.91       15.59       15.277      14.398      14.169      12.947      11.724      10.892      16.389             16.929             15.135             14.5               19.472             19.389             18.96              18.198             17.848             16.746             15.403             14.528             0.01           0.002          0.005          0.001          0.034          0.03           0.022          0.009          0.007          0.003          0.001          0.001          0.016           0.003           0.008           0.002           0.051           0.047           0.035           0.014           0.011           0.004           0.002           0.001           0.006                  0.009                  0.004                  0.007                  0.153                  0.175                  0.12                   0.055                  0.038                  0.017                  0.007                  0.007                  3           3           3           3           3           3           3           3           3           3           3           3           0                0                0                0                0                0                0                0                0                0                0                0                2.1677872250072935E-8  0.7767786065096033 0.22322137181252447  115 279.943587 32.170593 18394646+3210141 9.165  0.022  8.505  0.027  8.274  0.018  AAA  212  111  000  0    0    1.9524225443548984  
  74432 23458  344.072999673 32.5557318866 13.008     12.823     12.577     11.165     15.339     14.995     14.641     13.79      13.483     12.422     11.284     10.719     13.008      12.823      12.577      11.165      15.339      14.995      14.641      13.79       13.483      12.422      11.284      10.719      14.945             15.468             14.24              13.583             18.086             18.136             17.556             16.831             16.47              15.382             14.064             13.494             0.002          0.001          0.002          0.001          0.021          0.017          0.012          0.005          0.004          0.002          0.001          0.001          0.002           0.001           0.002           0.001           0.021           0.017           0.012           0.005           0.004           0.002           0.001           0.001           0.003                  0.003                  0.002                  0.004                  0.047                  0.053                  0.035                  0.017                  0.014                  0.007                  0.004                  0.004                  3           3           3           3           3           3           3           3           3           3           3           3           0                0                0                0                0                0                0                0                0                0                0                0                1.9287989886934974E-7  0.856744329531028  0.14325547758907306  121 344.073346 32.555912 22561760+3233212 13.266 0.341  8.75   ""     8.606  ""     DUU  200  100  c00  0    0    1.234810486006598   
