Tile	Number	RA	Dec	petro_radius	kron_radius	rSDSS_auto	gSDSS_auto	iSDSS_auto	zSDSS_auto	uJAVA_auto	J0378_auto	J0395_auto	J0410_auto	J0430_auto	J0515_auto	J0660_auto	J0861_auto	rSDSS_PETRO	gSDSS_PETRO	iSDSS_PETRO	zSDSS_PETRO	uJAVA_PETRO	J0378_PETRO	J0395_PETRO	J0410_PETRO	J0430_PETRO	J0515_PETRO	J0660_PETRO	J0861_PETRO	rSDSS_MAG_APER_6_0	gSDSS_MAG_APER_6_0	iSDSS_MAG_APER_6_0	zSDSS_MAG_APER_6_0	uJAVA_MAG_APER_6_0	J0378_MAG_APER_6_0	J0395_MAG_APER_6_0	J0410_MAG_APER_6_0	J0430_MAG_APER_6_0	J0515_MAG_APER_6_0	J0660_MAG_APER_6_0	J0861_MAG_APER_6_0	rSDSS_auto_err	gSDSS_auto_err	iSDSS_auto_err	zSDSS_auto_err	uJAVA_auto_err	J0378_auto_err	J0395_auto_err	J0410_auto_err	J0430_auto_err	J0515_auto_err	J0660_auto_err	J0861_auto_err	rSDSS_PETRO_err	gSDSS_PETRO_err	iSDSS_PETRO_err	zSDSS_PETRO_err	uJAVA_PETRO_err	J0378_PETRO_err	J0395_PETRO_err	J0410_PETRO_err	J0430_PETRO_err	J0515_PETRO_err	J0660_PETRO_err	J0861_PETRO_err	rSDSS_MAG_APER_6_0_err	gSDSS_MAG_APER_6_0_err	iSDSS_MAG_APER_6_0_err	zSDSS_MAG_APER_6_0_err	uJAVA_MAG_APER_6_0_err	J0378_MAG_APER_6_0_err	J0395_MAG_APER_6_0_err	J0410_MAG_APER_6_0_err	J0430_MAG_APER_6_0_err	J0515_MAG_APER_6_0_err	J0660_MAG_APER_6_0_err	J0861_MAG_APER_6_0_err	rSDSS_FLAGS	gSDSS_FLAGS	iSDSS_FLAGS	zSDSS_FLAGS	uJAVA_FLAGS	J0378_FLAGS	J0395_FLAGS	J0410_FLAGS	J0430_FLAGS	J0515_FLAGS	J0660_FLAGS	J0861_FLAGS	rSDSS_MASK_FLAGS	gSDSS_MASK_FLAGS	iSDSS_MASK_FLAGS	zSDSS_MASK_FLAGS	uJAVA_MASK_FLAGS	J0378_MASK_FLAGS	J0395_MASK_FLAGS	J0410_MASK_FLAGS	J0430_MASK_FLAGS	J0515_MASK_FLAGS	J0660_MASK_FLAGS	J0861_MASK_FLAGS	P(PN)	P(SySt)	P(all else)
63666	8755	137.330632289	33.1230942192	10.5600004	6.01524019	16.129	16.086	16.123	16.215	16.904	16.505	16.082	16.27	16.352	15.628	15.358	15.861	16.982	16.22	17.186	99.0	16.534	16.575	15.739	16.151	16.682	15.744	15.651	15.996	18.064	17.779	18.456	18.321	18.758	18.359	18.248	18.467	18.443	16.916	16.493	18.336	0.037	0.034	0.049	0.118	0.14	0.103	0.074	0.072	0.073	0.039	0.032	0.102	0.165	0.075	0.268	99.0	0.181	0.2	0.101	0.124	0.183	0.083	0.08	0.222	0.02	0.018	0.033	0.065	0.077	0.058	0.055	0.053	0.052	0.017	0.012	0.085	3	3	3	3	3	3	3	3	3	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0.6447576556315976	0.02430922101253243	0.33093312335586994
63045	37642	277.096568252	30.4218513339	3.5	3.5	16.14	16.962	17.986	15.715	19.831	19.133	18.651	17.923	17.556	16.811	16.041	15.729	16.14	16.962	17.986	15.715	19.831	19.133	18.651	17.923	17.556	16.811	16.041	15.729	16.198	17.023	18.387	15.787	19.44	19.127	18.881	17.979	17.632	16.875	16.106	15.8	0.006	0.011	0.072	0.005	0.298	0.193	0.126	0.06	0.041	0.023	0.011	0.005	0.006	0.011	0.072	0.005	0.298	0.193	0.126	0.06	0.041	0.023	0.011	0.005	0.005	0.009	0.065	0.004	0.145	0.133	0.108	0.047	0.033	0.02	0.01	0.004	3	3	3	3	3	3	3	3	3	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0.5291149837617191	0.23567680024631069	0.23520821599197034
68817	16897	130.578814303	55.6899277634	3.5	3.5	14.408	14.858	16.336	14.241	16.241	15.978	15.937	15.308	15.247	14.719	14.372	14.25	14.408	14.858	16.336	14.241	16.241	15.978	15.937	15.308	15.247	14.719	14.372	14.25	14.458	14.91	16.517	14.297	16.299	16.03	15.99	15.359	15.305	14.78	14.422	14.31	0.002	0.003	0.014	0.003	0.006	0.006	0.009	0.007	0.008	0.005	0.002	0.004	0.002	0.003	0.014	0.003	0.006	0.006	0.009	0.007	0.008	0.005	0.002	0.004	0.002	0.003	0.013	0.003	0.005	0.006	0.009	0.007	0.007	0.005	0.002	0.003	3	3	3	3	3	3	3	3	3	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0.7033047670042342	0.05931718611421308	0.2373780468815528
63092	58293	283.691337284	30.4459917514	3.5	3.5	12.58	11.702	12.494	10.95	12.618	12.354	12.238	11.663	11.602	11.231	10.973	10.798	12.58	11.702	12.494	10.95	12.618	12.354	12.238	11.663	11.602	11.231	10.973	10.798	13.017	12.655	13.441	11.803	13.267	13.087	12.92	12.417	12.284	11.966	11.741	11.541	0.001	0.001	0.002	0.001	0.002	0.002	0.002	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.002	0.001	0.002	0.002	0.002	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.003	0.003	0.002	0.001	0.001	0.001	0.001	0.001	3	3	3	3	3	3	3	3	3	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0.4596031495010178	0.12834890748799582	0.41204794301098635
75078	21970	37.5379745101	43.6446572992	9.23999977	8.24948025	13.124	12.289	14.21	11.577	13.675	13.407	13.286	12.714	12.628	12.099	11.729	11.598	13.122	12.288	14.206	11.577	13.673	13.406	13.286	12.714	12.629	12.099	11.728	11.598	14.531	13.253	16.126	12.452	14.663	14.418	14.239	13.68	13.572	13.029	12.64	12.486	0.001	0.001	0.003	0.001	0.004	0.003	0.003	0.002	0.001	0.001	0.001	0.001	0.001	0.001	0.004	0.001	0.004	0.004	0.003	0.002	0.002	0.001	0.001	0.001	0.002	0.001	0.004	0.001	0.004	0.004	0.004	0.002	0.002	0.001	0.001	0.002	3	3	3	3	3	3	3	3	3	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0.9263105658783102	0.008589341997482883	0.06510009212420688
74734	25915	352.473736261	34.3321247881	3.5	3.5	13.3	13.058	13.581	11.513	15.192	15.017	14.658	13.821	13.575	12.584	11.904	11.586	13.3	13.058	13.581	11.513	15.192	15.017	14.658	13.821	13.575	12.584	11.904	11.586	13.641	13.204	14.57	11.703	15.304	15.115	14.81	13.939	13.677	12.697	12.036	11.727	0.001	0.001	0.003	0.001	0.014	0.013	0.009	0.004	0.003	0.001	0.001	0.001	0.001	0.001	0.003	0.001	0.014	0.013	0.009	0.004	0.003	0.001	0.001	0.001	0.001	0.001	0.004	0.001	0.006	0.006	0.005	0.002	0.002	0.001	0.001	0.001	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0.5808579395277453	0.23866212928084568	0.1804799311914089
68450	10025	225.313422771	52.5988011019	6.59999943	4.2743969	18.242	18.121	18.772	18.593	18.6	18.078	18.461	18.812	18.56	17.305	16.636	18.685	18.266	18.121	18.774	18.399	19.473	17.953	18.058	18.797	18.514	17.408	16.579	18.676	18.42	18.398	19.006	18.863	18.878	18.315	18.809	19.008	18.882	17.498	16.845	19.09	0.039	0.036	0.107	0.191	0.128	0.084	0.119	0.127	0.097	0.033	0.019	0.23	0.063	0.056	0.173	0.257	0.442	0.117	0.128	0.195	0.144	0.053	0.026	0.366	0.026	0.028	0.068	0.126	0.091	0.059	0.09	0.084	0.072	0.024	0.015	0.172	3	3	3	3	3	3	3	3	3	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0.5870072008319953	0.018576542724562592	0.394416256443442
69842	8704	283.656029656	59.2324593134	3.5	3.5	17.453	17.924	19.596	17.305	19.02	18.68	18.712	18.263	18.217	17.715	17.43	17.259	17.453	17.924	19.596	17.305	19.02	18.68	18.712	18.263	18.217	17.715	17.43	17.259	17.459	17.928	19.626	17.307	18.997	18.691	18.743	18.27	18.227	17.718	17.433	17.271	0.012	0.019	0.136	0.024	0.105	0.082	0.085	0.044	0.041	0.027	0.021	0.028	0.012	0.019	0.136	0.024	0.105	0.082	0.085	0.044	0.041	0.027	0.021	0.028	0.012	0.019	0.138	0.024	0.101	0.081	0.086	0.044	0.041	0.027	0.021	0.028	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5487823541605203	0.05146556994869705	0.3997520758907827
69842	8722	283.659062655	59.2338913377	3.5	3.5	17.936	18.358	19.967	17.763	19.449	19.512	19.266	18.745	18.681	18.234	17.88	17.761	17.936	18.358	19.967	17.763	19.449	19.512	19.266	18.745	18.681	18.234	17.88	17.761	17.935	18.353	19.888	17.761	19.38	19.522	19.285	18.749	18.682	18.242	17.877	17.755	0.016	0.025	0.172	0.034	0.144	0.158	0.129	0.062	0.056	0.039	0.028	0.04	0.016	0.025	0.172	0.034	0.144	0.158	0.129	0.062	0.056	0.039	0.028	0.04	0.016	0.025	0.168	0.035	0.141	0.166	0.136	0.064	0.058	0.04	0.029	0.042	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.569591617530434	0.05544422688693609	0.37496415558262997
69842	25980	284.826570044	59.7652787059	3.5	3.5	14.593	15.098	16.299	14.41	16.665	16.569	16.316	15.636	15.541	14.957	14.541	14.428	14.593	15.098	16.299	14.41	16.665	16.569	16.316	15.636	15.541	14.957	14.541	14.428	14.628	15.137	16.483	14.451	16.703	16.601	16.355	15.673	15.582	14.996	14.582	14.461	0.002	0.004	0.012	0.003	0.02	0.02	0.016	0.008	0.008	0.005	0.004	0.004	0.002	0.004	0.012	0.003	0.02	0.02	0.016	0.008	0.008	0.005	0.004	0.004	0.002	0.004	0.012	0.003	0.018	0.017	0.015	0.008	0.007	0.005	0.004	0.004	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6524117966678454	0.0957233646402695	0.25186483869188514
