# Tile    Id      RA         DEC       idPNMain PNG        Name     PNstat RAJ2000    DECJ2000    DRAJ2000  DDECJ2000 Separation         
  67905.0 25070.0 284.833521 48.465604 553      078.5+18.7 "NGC 6742" T      18:59:19.8 48:27:55.51 284.8327  48.46542  2.068690323205968  
  62617.0 9746.0  194.86574  27.636267 442      049.3+88.1 "H 4-1"  T      12:59:27.8 27:38:10.61 194.86575 27.63628  0.05663380929362123
  63864.0 47481.0 283.393295 33.033544 509      063.1+13.9 "NGC 6720" T      18:53:35.1 33:01:45.01 283.39615 33.02917  17.949880331391867 
  70145.0 19210.0 280.424544 65.199499 10897    095.2+25.4 "Kn 59"  T      18:41:41.9 65:11:57.98 280.42459 65.19944  0.2234699547880953 
  64078.0 73697.0 282.507716 35.2425   514      064.9+15.5 "M 1-64" T      18:50:02.1 35:14:36.10 282.5087  35.24336  4.237378722051892  
