# Tile    Id      RA_1       DEC_1     MAIN_ID                          RA_2          DEC_2         RA_PREC DEC_PREC COO_ERR_MAJA COO_ERR_MINA COO_ERR_ANGLE COO_QUAL COO_WAVELENGTH COO_BIBCODE            SP_TYPE      SP_QUAL SP_BIBCODE             OTYPE        Distance_distance Distance_Q Distance_unit Distance_merr Distance_perr Distance_method Distance_bibcode    RVZ_TYPE RVZ_RADVEL RVZ_ERROR RVZ_QUAL RVZ_WAVELENGTH RVZ_BIBCODE            OTYPES                             RA_d         DEC_d       BIBLIST_1990_2020 Separation         
  69221.0 9002.0  106.206103 56.514662 "b\'[VH2006] UGC  3647 A -006-018\'" "07 04 49.3"  "+56 30 52"   5       5        ""           ""           0             D        O              "b\'2006ApJ...636..214V\'" "b\'\'"      ""      "b\'\'"                "b\'HII\'"   ""                ""         ""            ""            ""            ""              ""                  ""       ""         ""        ""       ""             "b\'\'"                "b\'HII|HII\'"                     106.2054     56.5144     2                 1.6850219770890131 
  70525.0 9777.0  124.707754 70.747177 ""                               ""            ""            ""      ""       ""           ""           ""            ""       ""             ""                     ""           ""      ""                     ""           ""                ""         ""            ""            ""            ""              ""                  ""       ""         ""        ""       ""             ""                     ""                                 ""           ""          ""                ""                 
  64235.0 10908.0 183.758086 35.965388 "b\'MCG+06-27-038\'"             "12 15 01.9"  "+35 57 55"   5       5        ""           ""           0             D        O              "b\'2003A&A...412...45P\'" "b\'\'"      ""      "b\'\'"                "b\'Galaxy\'" ""                ""         ""            ""            ""            ""              ""                  ""       ""         ""        ""       ""             "b\'\'"                "b\'G\'"                           183.7579     35.9653     4                 0.6277565343812246 
  64235.0 12290.0 183.912708 36.327239 "b\'[CW2009] N4214-05\'"         "12 15 39.04" "+36 19 37.1" 6       6        ""           ""           0             D        R              "b\'2009AJ....137.3869C\'" "b\'\'"      ""      "b\'\'"                "b\'HII\'"   ""                ""         ""            ""            ""            ""              ""                  ""       ""         ""        ""       ""             "b\'\'"                "b\'HII|Rad\'"                     183.91267    36.32697    1                 0.974651420461238  
  69286.0 18169.0 163.657726 56.988991 "b\'[CW2007] YSCC\'"             "10 54 37.9"  "+56 59 20"   5       5        ""           ""           0             D        ""             "b\'2007AJ....133.1710C\'" "b\'\'"      ""      "b\'\'"                "b\'Cl*\'"   ""                ""         ""            ""            ""            ""              ""                  ""       ""         ""        ""       ""             "b\'\'"                "b\'Cl*\'"                         163.6579     56.9889     1                 0.47305640406794164
  63728.0 10889.0 186.494025 33.604858 ""                               ""            ""            ""      ""       ""           ""           ""            ""       ""             ""                     ""           ""      ""                     ""           ""                ""         ""            ""            ""            ""              ""                  ""       ""         ""        ""       ""             ""                     ""                                 ""           ""          ""                ""                 
  63728.0 15748.0 186.398924 33.521814 "b\'SDSSCGB 8257.1\'"            "12 25 35.6724" "+33 31 19.578" 14      14       0.83         0.537        90            A        O              "b\'2018yCat.1345....0G\'" "b\'\'"      ""      "b\'\'"                "b\'Galaxy\'" ""                ""         ""            ""            ""            ""              ""                  ""       ""         ""        ""       ""             "b\'\'"                "b\'*|G|GiG\'"                     186.39863534 33.52210506 1                 1.359578387297597  
  73559.0 18072.0 333.451924 17.376651 "b\'SDSS J221348.45+172235.6\'"  "22 13 48.4569" "+17 22 35.637" 9       9        ""           ""           0             C        O              "b\'2015ApJS..219...12A\'" "b\'\'"      ""      "b\'\'"                "b\'Galaxy\'" ""                ""         ""            ""            ""            ""              ""                  ""       ""         ""        ""       ""             "b\'\'"                "b\'G\'"                           333.451904   17.376566   1                 0.31362019373292704
  67002.0 15821.0 224.909851 44.676085 "b\'LEDA 2249566\'"              "14 59 38.3"  "+44 40 35"   5       5        ""           ""           0             D        O              "b\'2003A&A...412...45P\'" "b\'\'"      ""      "b\'\'"                "b\'Galaxy\'" ""                ""         ""            ""            ""            ""              ""                  ""       ""         ""        ""       ""             "b\'\'"                "b\'G\'"                           224.9096     44.6764     1                 1.3033863912370744 
  62617.0 9746.0  194.86574  27.636267 "b\'PN H  4-1\'"                 "12 59 27.77" "+27 38 10.5" 6       6        210.0        210.0        90            C        I              "b\'2003yCat.2246....0C\'" "b\'\'"      ""      "b\'\'"                "b\'PN\'"    18050.0           ""         pc            ""            ""            ""              2008ApJ...689..194S v        -141.0     ""        D        ""             "b\'\'"                "b\'EmO|PN|*|Q?|EmG|Rad|IR|blu|UV|X\'" 194.86571    27.63625    85                0.11357718821517312
