Tile	Number	RA	Dec	rSDSS_auto	gSDSS_auto	iSDSS_auto	zSDSS_auto	uJAVA_auto	J0378_auto	J0395_auto	J0410_auto	J0430_auto	J0515_auto	J0660_auto	J0861_auto	rSDSS_PETRO	gSDSS_PETRO	iSDSS_PETRO	zSDSS_PETRO	uJAVA_PETRO	J0378_PETRO	J0395_PETRO	J0410_PETRO	J0430_PETRO	J0515_PETRO	J0660_PETRO	J0861_PETRO	rSDSS_MAG_APER_6_0	gSDSS_MAG_APER_6_0	iSDSS_MAG_APER_6_0	zSDSS_MAG_APER_6_0	uJAVA_MAG_APER_6_0	J0378_MAG_APER_6_0	J0395_MAG_APER_6_0	J0410_MAG_APER_6_0	J0430_MAG_APER_6_0	J0515_MAG_APER_6_0	J0660_MAG_APER_6_0	J0861_MAG_APER_6_0	rSDSS_auto_err	gSDSS_auto_err	iSDSS_auto_err	zSDSS_auto_err	uJAVA_auto_err	J0378_auto_err	J0395_auto_err	J0410_auto_err	J0430_auto_err	J0515_auto_err	J0660_auto_err	J0861_auto_err	rSDSS_PETRO_err	gSDSS_PETRO_err	iSDSS_PETRO_err	zSDSS_PETRO_err	uJAVA_PETRO_err	J0378_PETRO_err	J0395_PETRO_err	J0410_PETRO_err	J0430_PETRO_err	J0515_PETRO_err	J0660_PETRO_err	J0861_PETRO_err	rSDSS_MAG_APER_6_0_err	gSDSS_MAG_APER_6_0_err	iSDSS_MAG_APER_6_0_err	zSDSS_MAG_APER_6_0_err	uJAVA_MAG_APER_6_0_err	J0378_MAG_APER_6_0_err	J0395_MAG_APER_6_0_err	J0410_MAG_APER_6_0_err	J0430_MAG_APER_6_0_err	J0515_MAG_APER_6_0_err	J0660_MAG_APER_6_0_err	J0861_MAG_APER_6_0_err	rSDSS_FLAGS	gSDSS_FLAGS	iSDSS_FLAGS	zSDSS_FLAGS	uJAVA_FLAGS	J0378_FLAGS	J0395_FLAGS	J0410_FLAGS	J0430_FLAGS	J0515_FLAGS	J0660_FLAGS	J0861_FLAGS	rSDSS_MASK_FLAGS	gSDSS_MASK_FLAGS	iSDSS_MASK_FLAGS	zSDSS_MASK_FLAGS	uJAVA_MASK_FLAGS	J0378_MASK_FLAGS	J0395_MASK_FLAGS	J0410_MASK_FLAGS	J0430_MASK_FLAGS	J0515_MASK_FLAGS	J0660_MASK_FLAGS	J0861_MASK_FLAGS
69815	13226	277.744937183	59.5811546204	15.989	16.156	16.416	15.187	15.741	15.723	15.627	15.4	14.92	15.896	15.383	15.654	15.539	15.531	16.085	14.75	15.261	15.135	15.337	14.815	14.361	15.206	14.836	15.284	16.922	17.187	16.953	15.903	17.214	17.539	17.07	17.3	16.71	17.278	16.342	16.188	0.009	0.012	0.011	0.009	0.019	0.019	0.019	0.013	0.01	0.016	0.011	0.017	0.008	0.009	0.011	0.008	0.015	0.014	0.017	0.01	0.008	0.011	0.009	0.016	0.014	0.02	0.014	0.013	0.047	0.057	0.044	0.041	0.027	0.034	0.018	0.021	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
69815	13651	277.744366268	59.5798269715	14.951	14.971	14.967	14.17	15.204	15.018	15.131	14.733	14.396	14.623	14.395	14.484	14.91	14.933	14.927	14.146	15.153	14.972	15.119	14.691	14.37	14.595	14.373	14.436	16.26	16.106	16.578	15.718	17.302	16.795	16.864	16.568	16.138	16.003	15.771	16.187	0.008	0.009	0.009	0.01	0.023	0.021	0.024	0.014	0.01	0.012	0.009	0.017	0.009	0.01	0.01	0.011	0.025	0.022	0.026	0.015	0.011	0.012	0.01	0.018	0.009	0.011	0.009	0.011	0.045	0.033	0.037	0.026	0.02	0.017	0.014	0.018	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
71702	1883	17.3866663315	1.3162737104	19.897	20.155	19.836	19.603	21.182	20.642	20.889	20.756	20.338	19.839	19.442	19.774	20.044	20.111	19.942	19.265	21.163	20.298	22.114	20.391	20.079	19.565	19.379	19.54	19.938	20.177	19.845	19.483	20.925	20.67	21.236	20.988	20.232	19.845	19.409	19.731	0.102	0.125	0.133	0.224	0.656	0.409	0.509	0.37	0.254	0.161	0.119	0.304	0.199	0.199	0.25	0.283	1.111	0.506	2.685	0.45	0.339	0.21	0.189	0.422	0.115	0.137	0.146	0.218	0.567	0.458	0.763	0.499	0.251	0.175	0.125	0.318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
73511	6	334.320740144	15.0685487346	18.437	18.252	18.172	17.173	19.957	19.128	21.187	18.696	18.942	18.158	17.729	17.413	19.174	19.229	18.966	18.306	20.74	19.904	21.028	20.137	20.823	19.072	18.37	18.23	19.444	19.717	19.147	18.793	20.805	20.359	20.907	20.209	20.366	19.523	18.662	18.497	0.105	0.086	0.098	0.09	0.884	0.411	2.831	0.232	0.292	0.137	0.096	0.137	0.126	0.13	0.121	0.153	1.101	0.522	1.493	0.531	1.006	0.195	0.106	0.178	0.133	0.167	0.117	0.195	0.957	0.654	1.098	0.469	0.541	0.242	0.115	0.186	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
71702	2731	17.2430499007	1.3925044722	18.945	19.172	18.979	19.92	19.53	18.787	19.55	19.285	19.555	18.116	18.706	18.9	19.188	19.134	19.137	20.207	19.332	19.099	19.442	19.507	19.483	18.117	18.831	19.268	19.493	19.335	19.563	20.098	20.044	19.493	19.522	19.765	20.012	18.343	18.795	19.491	0.123	0.142	0.177	0.884	0.42	0.212	0.43	0.275	0.355	0.095	0.172	0.4	0.12	0.108	0.159	0.893	0.273	0.221	0.304	0.264	0.26	0.075	0.151	0.435	0.077	0.066	0.113	0.382	0.254	0.157	0.162	0.165	0.206	0.049	0.073	0.254	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2
69138	21353	241.612853306	56.0699519916	99.0	99.0	99.0	99.0	9.741	9.195	9.056	9.129	9.023	99.0	99.0	99.0	99.0	99.0	99.0	99.0	10.284	9.777	9.668	10.907	9.764	99.0	99.0	99.0	15.604	16.889	17.408	15.022	17.057	15.964	15.762	16.048	15.599	16.117	15.282	15.052	99.0	99.0	99.0	99.0	0.001	0.0	0.0	0.001	0.0	99.0	99.0	99.0	99.0	99.0	99.0	99.0	0.001	0.001	0.001	0.003	0.001	99.0	99.0	99.0	0.011	0.025	0.048	0.008	0.031	0.017	0.015	0.018	0.011	0.02	0.015	0.011	3	3	3	3	3	3	3	3	3	3	3	3	2	2	2	2	2	2	2	2	2	2	2	2
71702	10392	18.1140135197	2.49021793634	17.799	17.755	17.213	16.53	17.32	17.393	17.576	17.57	17.143	17.631	16.998	16.317	17.512	17.503	16.899	16.329	17.085	17.126	17.177	17.295	16.908	17.329	16.795	16.157	19.793	20.112	19.671	18.746	19.904	19.599	19.816	20.667	19.417	19.766	18.957	19.095	0.076	0.072	0.06	0.069	0.088	0.1	0.122	0.096	0.065	0.101	0.063	0.063	0.066	0.064	0.052	0.065	0.081	0.088	0.095	0.085	0.06	0.087	0.059	0.061	0.168	0.242	0.184	0.199	0.295	0.274	0.355	0.562	0.173	0.244	0.145	0.271	3	3	2	3	2	3	3	2	2	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3
62900	1840	144.060868313	29.8383210831	19.239	19.559	19.166	18.913	20.297	99.0	21.546	20.022	19.557	20.564	18.902	21.546	19.123	19.567	19.264	19.258	20.357	99.0	99.0	20.056	19.434	20.161	18.753	99.0	19.659	20.067	19.629	19.152	21.299	21.423	20.903	21.074	20.177	19.934	19.114	19.845	0.083	0.083	0.183	0.348	0.45	99.0	1.852	0.47	0.282	0.829	0.207	3.416	0.113	0.126	0.304	0.721	0.705	99.0	99.0	0.723	0.374	0.853	0.271	99.0	0.051	0.056	0.116	0.18	0.48	0.644	0.44	0.521	0.212	0.197	0.106	0.296	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2
73511	11063	334.342686371	15.6320919622	19.363	19.81	19.033	19.34	22.97	21.966	20.188	20.125	20.603	19.715	17.807	19.193	19.363	19.81	19.033	19.34	22.97	21.966	20.188	20.125	20.603	19.715	17.807	19.193	19.388	19.817	19.041	19.331	22.701	22.083	20.141	20.179	20.584	19.677	17.804	19.157	0.065	0.098	0.056	0.174	3.734	1.501	0.305	0.233	0.366	0.156	0.033	0.188	0.065	0.098	0.056	0.174	3.734	1.501	0.305	0.233	0.366	0.156	0.033	0.188	0.068	0.101	0.058	0.176	2.996	1.72	0.3	0.251	0.37	0.155	0.034	0.186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
69815	25043	275.512238779	60.1256442481	19.621	19.831	19.368	19.576	20.107	19.587	21.141	20.147	19.933	19.673	19.056	19.072	19.625	19.426	19.28	20.514	20.317	18.921	20.111	19.801	20.099	19.606	19.015	19.438	19.846	19.91	19.628	19.841	20.854	20.259	20.858	20.242	20.149	19.75	19.224	19.694	0.107	0.137	0.094	0.27	0.402	0.268	1.125	0.35	0.272	0.209	0.114	0.22	0.216	0.186	0.175	1.28	0.943	0.28	0.847	0.495	0.615	0.383	0.214	0.62	0.081	0.092	0.073	0.209	0.495	0.307	0.534	0.236	0.205	0.141	0.084	0.237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
