Tile	Number	RA	Dec	rSDSS_auto	gSDSS_auto	iSDSS_auto	zSDSS_auto	uJAVA_auto	J0378_auto	J0395_auto	J0410_auto	J0430_auto	J0515_auto	J0660_auto	J0861_auto	rSDSS_PETRO	gSDSS_PETRO	iSDSS_PETRO	zSDSS_PETRO	uJAVA_PETRO	J0378_PETRO	J0395_PETRO	J0410_PETRO	J0430_PETRO	J0515_PETRO	J0660_PETRO	J0861_PETRO	rSDSS_MAG_APER_6_0	gSDSS_MAG_APER_6_0	iSDSS_MAG_APER_6_0	zSDSS_MAG_APER_6_0	uJAVA_MAG_APER_6_0	J0378_MAG_APER_6_0	J0395_MAG_APER_6_0	J0410_MAG_APER_6_0	J0430_MAG_APER_6_0	J0515_MAG_APER_6_0	J0660_MAG_APER_6_0	J0861_MAG_APER_6_0	rSDSS_auto_err	gSDSS_auto_err	iSDSS_auto_err	zSDSS_auto_err	uJAVA_auto_err	J0378_auto_err	J0395_auto_err	J0410_auto_err	J0430_auto_err	J0515_auto_err	J0660_auto_err	J0861_auto_err	rSDSS_PETRO_err	gSDSS_PETRO_err	iSDSS_PETRO_err	zSDSS_PETRO_err	uJAVA_PETRO_err	J0378_PETRO_err	J0395_PETRO_err	J0410_PETRO_err	J0430_PETRO_err	J0515_PETRO_err	J0660_PETRO_err	J0861_PETRO_err	rSDSS_MAG_APER_6_0_err	gSDSS_MAG_APER_6_0_err	iSDSS_MAG_APER_6_0_err	zSDSS_MAG_APER_6_0_err	uJAVA_MAG_APER_6_0_err	J0378_MAG_APER_6_0_err	J0395_MAG_APER_6_0_err	J0410_MAG_APER_6_0_err	J0430_MAG_APER_6_0_err	J0515_MAG_APER_6_0_err	J0660_MAG_APER_6_0_err	J0861_MAG_APER_6_0_err	rSDSS_FLAGS	gSDSS_FLAGS	iSDSS_FLAGS	zSDSS_FLAGS	uJAVA_FLAGS	J0378_FLAGS	J0395_FLAGS	J0410_FLAGS	J0430_FLAGS	J0515_FLAGS	J0660_FLAGS	J0861_FLAGS	rSDSS_MASK_FLAGS	gSDSS_MASK_FLAGS	iSDSS_MASK_FLAGS	zSDSS_MASK_FLAGS	uJAVA_MASK_FLAGS	J0378_MASK_FLAGS	J0395_MASK_FLAGS	J0410_MASK_FLAGS	J0430_MASK_FLAGS	J0515_MASK_FLAGS	J0660_MASK_FLAGS	J0861_MASK_FLAGS
47423	16162	236.238713453	48.608156032	14.081	12.887	12.4	12.303	13.718	13.435	13.341	12.88	12.819	12.46	12.326	12.175	14.081	12.887	12.4	12.303	13.718	13.435	13.341	12.88	12.819	12.46	12.326	12.175	14.513	13.168	12.647	12.512	13.92	13.594	13.486	13.046	12.984	12.622	12.479	12.327	0.002	0.001	0.001	0.002	0.005	0.004	0.004	0.002	0.002	0.001	0.001	0.002	0.002	0.001	0.001	0.002	0.005	0.004	0.004	0.002	0.002	0.001	0.001	0.002	0.002	0.001	0.001	0.001	0.003	0.003	0.002	0.002	0.001	0.001	0.001	0.001	3	3	3	3	3	3	3	3	3	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0
46509	6693	187.055699674	44.1171625432	12.642	12.847	12.802	12.703	13.031	12.636	13.038	12.99	12.993	13.025	11.561	12.814	12.752	12.896	12.874	12.805	13.109	12.681	13.052	12.975	13.056	13.075	11.591	12.963	16.554	16.628	16.725	16.628	16.681	16.372	16.635	16.614	16.626	16.755	15.728	16.666	0.002	0.002	0.004	0.006	0.006	0.005	0.006	0.005	0.005	0.005	0.002	0.008	0.005	0.005	0.008	0.013	0.011	0.009	0.012	0.008	0.009	0.01	0.003	0.018	0.007	0.009	0.009	0.015	0.017	0.015	0.018	0.014	0.014	0.015	0.008	0.019	3	3	3	3	3	3	3	3	3	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0
43216	6767	282.951889546	29.8027490772	17.384	18.054	17.116	17.017	19.389	19.835	19.37	18.774	18.531	17.887	16.804	17.08	17.377	18.045	17.106	16.985	19.246	19.942	19.36	18.771	18.532	17.874	16.789	17.035	17.423	18.087	17.134	17.038	19.664	20.009	19.36	18.815	18.605	17.929	16.827	17.103	0.01	0.012	0.02	0.026	0.16	0.22	0.138	0.057	0.058	0.029	0.012	0.04	0.011	0.014	0.022	0.029	0.159	0.275	0.155	0.064	0.066	0.032	0.013	0.043	0.008	0.01	0.015	0.021	0.159	0.198	0.107	0.046	0.049	0.024	0.011	0.031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
43216	25558	283.067251923	30.0453070675	17.542	18.174	17.25	17.106	19.174	19.5	19.511	18.779	18.64	17.998	16.958	17.167	17.542	18.174	17.25	17.106	19.174	19.5	19.511	18.779	18.64	17.998	16.958	17.167	17.6	18.222	17.297	17.167	19.279	19.351	19.408	18.855	18.677	18.014	17.006	17.18	0.011	0.013	0.022	0.028	0.131	0.161	0.156	0.057	0.063	0.032	0.013	0.042	0.011	0.013	0.022	0.028	0.131	0.161	0.156	0.057	0.063	0.032	0.013	0.042	0.009	0.011	0.017	0.023	0.111	0.109	0.11	0.047	0.05	0.026	0.012	0.033	3	3	3	3	3	3	3	3	3	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0
43216	28290	283.095132296	30.0832272703	17.707	18.289	17.44	17.376	19.692	19.307	19.15	18.761	18.672	18.054	16.995	17.323	17.689	18.273	17.432	17.382	19.665	19.34	19.16	18.764	18.603	18.036	16.991	17.341	17.74	18.307	17.467	17.378	19.686	19.411	19.288	18.787	18.708	18.09	17.014	17.343	0.012	0.014	0.024	0.033	0.194	0.127	0.105	0.052	0.061	0.031	0.013	0.046	0.013	0.015	0.028	0.038	0.215	0.148	0.12	0.059	0.065	0.035	0.014	0.053	0.01	0.012	0.02	0.027	0.157	0.114	0.099	0.044	0.052	0.027	0.012	0.038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
44686	13776	254.375493993	38.6896446995	16.616	16.873	16.563	16.568	17.636	17.234	17.276	17.168	17.155	16.552	16.063	16.603	16.55	16.816	16.481	16.529	17.792	17.132	17.237	17.184	17.025	16.539	16.027	16.494	17.522	17.69	17.577	17.594	18.282	17.926	17.996	17.959	17.856	17.249	16.826	17.571	0.016	0.021	0.025	0.053	0.096	0.068	0.072	0.052	0.049	0.03	0.019	0.058	0.024	0.03	0.037	0.08	0.168	0.093	0.106	0.079	0.066	0.044	0.027	0.082	0.012	0.016	0.018	0.036	0.051	0.041	0.043	0.034	0.03	0.02	0.014	0.039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
43216	64487	282.958302508	30.5486955598	17.882	18.32	17.66	17.587	19.35	19.149	19.019	18.774	18.589	18.156	17.322	17.587	17.866	18.303	17.619	17.565	19.269	19.083	19.026	18.784	18.555	18.129	17.31	17.584	17.909	18.355	17.675	17.613	19.438	19.198	19.047	18.834	18.66	18.206	17.33	17.615	0.013	0.014	0.029	0.039	0.137	0.105	0.091	0.051	0.055	0.033	0.017	0.056	0.015	0.015	0.031	0.043	0.142	0.11	0.101	0.057	0.059	0.036	0.018	0.063	0.011	0.012	0.024	0.033	0.124	0.092	0.079	0.046	0.049	0.03	0.015	0.048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
43216	65090	282.968270879	30.5547937658	17.909	18.491	17.737	17.671	19.234	19.551	19.261	19.07	18.864	18.297	17.363	17.559	17.891	18.469	17.754	17.653	18.983	19.519	19.145	19.0	18.77	18.334	17.132	17.501	18.02	18.58	17.845	17.763	19.791	19.57	19.369	19.252	19.004	18.403	17.959	17.843	0.019	0.022	0.043	0.06	0.166	0.212	0.155	0.091	0.094	0.052	0.022	0.076	0.021	0.025	0.05	0.066	0.151	0.235	0.156	0.096	0.099	0.06	0.021	0.081	0.014	0.017	0.03	0.045	0.176	0.142	0.123	0.074	0.071	0.041	0.024	0.066	3	3	3	3	3	3	3	3	3	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0
53925	22699	334.200982461	32.4995087608	16.361	15.377	14.262	14.057	17.622	17.462	17.134	16.619	16.213	15.356	14.639	14.438	15.637	12.449	11.583	11.106	14.567	14.405	14.07	13.12	12.86	11.943	11.44	11.012	17.369	17.433	16.283	15.869	19.629	19.576	19.439	18.66	18.303	17.238	16.449	16.25	0.006	0.003	0.002	0.003	0.044	0.044	0.035	0.017	0.011	0.006	0.003	0.005	0.006	0.001	0.0	0.001	0.006	0.006	0.005	0.002	0.001	0.001	0.001	0.001	0.009	0.013	0.006	0.01	0.18	0.197	0.182	0.07	0.048	0.019	0.01	0.015	3	3	3	3	3	3	3	3	3	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0
53925	23809	333.856437556	32.5088650341	13.081	12.658	12.226	11.977	13.69	13.42	13.342	12.815	12.747	12.342	12.121	11.971	13.081	12.658	12.226	11.977	13.69	13.42	13.342	12.815	12.747	12.342	12.121	11.971	13.384	12.931	12.502	12.239	13.907	13.636	13.586	12.994	12.937	12.535	12.329	12.159	0.001	0.001	0.001	0.001	0.004	0.003	0.003	0.002	0.002	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.004	0.003	0.003	0.002	0.002	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.003	0.003	0.003	0.001	0.001	0.001	0.001	0.001	3	3	3	3	3	3	3	3	3	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0
